window,signal,pearson_r,abs_pearson,strength,direction
30,num_unique_symbols,0.5090099369604025,0.5090099369604025,Moderate,INCREASES
30,num_trades,0.35288053328672764,0.35288053328672764,Weak,INCREASES
15,num_unique_symbols,0.30406238838264765,0.30406238838264765,Weak,INCREASES
5,num_unique_symbols,0.23342975176381883,0.23342975176381883,Weak,INCREASES
15,num_trades,0.23296681276534648,0.23296681276534648,Weak,INCREASES
3,num_unique_symbols,0.22047069373897896,0.22047069373897896,Weak,INCREASES
5,num_trades,0.20560109346777714,0.20560109346777714,Weak,INCREASES
1,num_unique_symbols,0.200388961736175,0.200388961736175,Weak,INCREASES
3,num_trades,0.19513688925082148,0.19513688925082148,Very weak,INCREASES
15,avg_pnl_per_trade,0.1812711097644181,0.1812711097644181,Very weak,INCREASES
15,avg_price_move_pct,0.1733259982978205,0.1733259982978205,Very weak,INCREASES
5,avg_price_move_pct,0.17224852102595428,0.17224852102595428,Very weak,INCREASES
1,num_trades,0.16026253640809315,0.16026253640809315,Very weak,INCREASES
5,avg_pnl_per_trade,0.1426957945954957,0.1426957945954957,Very weak,INCREASES
15,avg_hold_minutes,0.1412245612831621,0.1412245612831621,Very weak,INCREASES
3,avg_price_move_pct,0.13568232425755888,0.13568232425755888,Very weak,INCREASES
5,avg_entry_price,0.130945213265503,0.130945213265503,Very weak,INCREASES
15,win_rate_pct,0.13074898367438068,0.13074898367438068,Very weak,INCREASES
30,avg_hold_minutes,0.12963071085486652,0.12963071085486652,Very weak,INCREASES
15,avg_entry_price,0.12911613206811948,0.12911613206811948,Very weak,INCREASES
5,win_rate_pct,0.11625138100473137,0.11625138100473137,Very weak,INCREASES
3,avg_entry_price,0.11484892765000951,0.11484892765000951,Very weak,INCREASES
3,avg_pnl_per_trade,0.10943326421294074,0.10943326421294074,Very weak,INCREASES
3,win_rate_pct,0.09708091279724189,0.09708091279724189,Very weak,INCREASES
15,total_pnl,0.09637824125578318,0.09637824125578318,Very weak,INCREASES
5,avg_hold_minutes,0.08585054265710233,0.08585054265710233,Very weak,INCREASES
1,avg_entry_price,0.0817479795485781,0.0817479795485781,Very weak,INCREASES
1,avg_price_move_pct,0.07856938396221676,0.07856938396221676,Very weak,INCREASES
3,avg_hold_minutes,0.06996896367654526,0.06996896367654526,Very weak,INCREASES
30,avg_pnl_per_trade,0.06823635641861679,0.06823635641861679,Very weak,INCREASES
5,total_pnl,0.059671902799661926,0.059671902799661926,Very weak,INCREASES
1,win_rate_pct,0.052508592436775914,0.052508592436775914,Very weak,INCREASES
1,avg_pnl_per_trade,0.0510489669892518,0.0510489669892518,Very weak,INCREASES
3,total_pnl,0.04724616986888069,0.04724616986888069,Very weak,INCREASES
1,avg_hold_minutes,0.04364135356251029,0.04364135356251029,Very weak,INCREASES
1,total_pnl,0.023114446696062725,0.023114446696062725,Very weak,INCREASES
30,total_pnl,-0.020136454664281433,0.020136454664281433,Very weak,DECREASES
30,avg_price_move_pct,0.017815261041604625,0.017815261041604625,Very weak,INCREASES
30,avg_entry_price,0.006212338077907193,0.006212338077907193,Very weak,INCREASES
30,win_rate_pct,-0.0038713649368757185,0.0038713649368757185,Very weak,DECREASES
