date,symbol
2025-01-02,ICG
2025-01-02,AEI
2025-01-02,SPCB
2025-01-02,AMBO
2025-01-02,CRIS
2025-01-02,AMPX.WS
2025-01-02,GRRR
2025-01-02,ARBB
2025-01-02,ALUR
2025-01-02,AEMD
2025-01-02,ABTS
2025-01-02,LAES
2025-01-02,ASPI
2025-01-02,ATAI
2025-01-02,AMPX
2025-01-03,CRNC
2025-01-03,SPCB
2025-01-03,ONDS
2025-01-06,BOXL
2025-01-06,SPPL
2025-01-06,RVSN
2025-01-06,WATT
2025-01-06,CLRO
2025-01-06,INAB
2025-01-06,LTRN
2025-01-06,NUAI
2025-01-06,DFNS
2025-01-06,EDBL
2025-01-06,STEM
2025-01-06,NN
2025-01-06,ARBB
2025-01-06,NUAIW
2025-01-06,AIMD
2025-01-07,LIDR
2025-01-07,HOTH
2025-01-07,YSXT
2025-01-07,MBAI
2025-01-07,MYSE
2025-01-07,XTIA
2025-01-07,RIME
2025-01-07,DRTSW
2025-01-07,WHLR
2025-01-07,ARBE
2025-01-07,DNLI
2025-01-07,SUIG
2025-01-07,PSNYW
2025-01-07,CRMLW
2025-01-07,DRIO
2025-01-08,GURE
2025-01-08,LRHC
2025-01-08,CURR
2025-01-08,LAES
2025-01-08,SANA
2025-01-08,RVSN
2025-01-08,RIME
2025-01-08,MDCXW
2025-01-08,ATOM
2025-01-08,SUIG
2025-01-08,RGTIW
2025-01-08,RR
2025-01-08,JSPR
2025-01-08,OMEX
2025-01-08,BOXL
2025-01-10,GLXG
2025-01-10,VRME
2025-01-10,AIMD
2025-01-10,MYSE
2025-01-10,HOTH
2025-01-10,VMAR
2025-01-10,GRNQ
2025-01-10,XTIA
2025-01-10,HURA
2025-01-10,MVST
2025-01-10,RGTIW
2025-01-10,LAES
2025-01-10,RR
2025-01-10,ZBAI
2025-01-10,STEX
2025-01-13,PHIO
2025-01-13,LITM
2025-01-13,CRMLW
2025-01-13,ATPC
2025-01-13,PDYN
2025-01-13,CMTL
2025-01-13,GRNQ
2025-01-13,DRCT
2025-01-13,STIM
2025-01-13,AIRS
2025-01-13,GCTK
2025-01-13,NUAIW
2025-01-13,MSW
2025-01-13,NCNA
2025-01-13,ESGL
2025-01-14,MGIH
2025-01-14,NNBR
2025-01-14,ALUR
2025-01-14,AMPX.WS
2025-01-14,TDUP
2025-01-14,XXII
2025-01-14,RPID
2025-01-14,FATE
2025-01-14,INTS
2025-01-14,CPIX
2025-01-14,AIMD
2025-01-14,PHIO
2025-01-14,RGTIW
2025-01-14,FGL
2025-01-14,ARQQ
2025-01-15,GCTK
2025-01-15,JXG
2025-01-15,WNW
2025-01-15,XXII
2025-01-15,VMAR
2025-01-15,TOI
2025-01-15,FEED
2025-01-15,BDMD
2025-01-15,FAMI
2025-01-15,CTKB
2025-01-15,ZBAI
2025-01-15,SES
2025-01-15,MASS
2025-01-15,ACON
2025-01-15,DFNS
2025-01-16,NEOVW
2025-01-16,BMRA
2025-01-16,MYSE
2025-01-16,AEON
2025-01-16,FSI
2025-01-16,GORO
2025-01-16,KULR
2025-01-16,WHLR
2025-01-16,ORKT
2025-01-16,SES
2025-01-16,ONEG
2025-01-16,ATRA
2025-01-16,VRME
2025-01-16,BZAI
2025-01-16,QUBT
2025-01-17,CRMLW
2025-01-17,XCUR
2025-01-17,TOI
2025-01-17,BDMD
2025-01-17,ZEO
2025-01-17,GSIT
2025-01-17,ZBAI
2025-01-17,DFNS
2025-01-17,ABVE
2025-01-17,BZAI
2025-01-17,GCTK
2025-01-17,XCH
2025-01-17,NBP
2025-01-17,PMAX
2025-01-17,ARQQ
2025-01-21,MDCXW
2025-01-21,HSDT
2025-01-21,ASST
2025-01-21,DOGZ
2025-01-21,SIDU
2025-01-21,RGTI
2025-01-21,LEDS
2025-01-21,GCTK
2025-01-21,VIRC
2025-01-21,RGTIW
2025-01-21,VATE
2025-01-21,DWTX
2025-01-21,BOLT
2025-01-21,SST
2025-01-21,BQ
