date,symbol,rank,max_run_gain_pct,gaprun_count
2025-01-02,ICG,1,21.69,12
2025-01-02,AEI,2,21.57,9
2025-01-02,SPCB,3,21.05,15
2025-01-02,AMBO,4,18.19,1
2025-01-02,CRIS,5,13.56,4
2025-01-02,AMPX.WS,6,13.3,2
2025-01-02,GRRR,7,10.96,3
2025-01-02,ARBB,8,10.9,3
2025-01-02,ALUR,9,10.0,5
2025-01-02,AEMD,10,8.78,5
2025-01-02,ABTS,11,7.6,2
2025-01-02,LAES,12,7.43,4
2025-01-02,ASPI,13,7.28,4
2025-01-02,ATAI,14,6.57,2
2025-01-02,AMPX,15,6.56,2
2025-01-03,CRNC,1,12.3,13
2025-01-03,SPCB,2,10.75,4
2025-01-03,ONDS,3,5.54,1
2025-01-06,BOXL,1,40.7,29
2025-01-06,SPPL,2,26.24,7
2025-01-06,RVSN,3,23.73,6
2025-01-06,WATT,4,23.27,12
2025-01-06,CLRO,5,21.74,7
2025-01-06,INAB,6,20.36,4
2025-01-06,LTRN,7,19.33,4
2025-01-06,NUAI,8,18.42,4
2025-01-06,DFNS,9,17.11,8
2025-01-06,EDBL,10,16.61,4
2025-01-06,STEM,11,16.17,15
2025-01-06,NN,12,15.93,5
2025-01-06,ARBB,13,15.87,5
2025-01-06,NUAIW,14,15.38,1
2025-01-06,AIMD,15,15.28,7
2025-01-07,LIDR,1,43.67,16
2025-01-07,HOTH,2,39.11,26
2025-01-07,YSXT,3,20.0,10
2025-01-07,MBAI,4,19.4,6
2025-01-07,MYSE,5,18.43,12
2025-01-07,XTIA,6,17.93,16
2025-01-07,RIME,7,17.33,14
2025-01-07,DRTSW,8,16.98,3
2025-01-07,WHLR,9,14.61,7
2025-01-07,ARBE,10,13.3,5
2025-01-07,DNLI,11,13.24,11
2025-01-07,SUIG,12,12.92,5
2025-01-07,PSNYW,13,12.82,1
2025-01-07,CRMLW,14,12.72,1
2025-01-07,DRIO,15,12.49,4
2025-01-08,GURE,1,41.18,11
2025-01-08,LRHC,2,28.05,10
2025-01-08,CURR,3,26.92,33
2025-01-08,LAES,4,18.13,12
2025-01-08,SANA,5,17.95,12
2025-01-08,RVSN,6,16.89,6
2025-01-08,RIME,7,16.07,5
2025-01-08,MDCXW,8,15.38,1
2025-01-08,ATOM,9,14.9,3
2025-01-08,SUIG,10,14.86,6
2025-01-08,RGTIW,11,14.63,16
2025-01-08,RR,12,14.39,4
2025-01-08,JSPR,13,14.08,8
2025-01-08,OMEX,14,14.04,3
2025-01-08,BOXL,15,13.79,6
2025-01-10,GLXG,1,42.13,15
2025-01-10,VRME,2,33.86,13
2025-01-10,AIMD,3,29.77,11
2025-01-10,MYSE,4,24.38,19
2025-01-10,HOTH,5,22.54,9
2025-01-10,VMAR,6,20.97,17
2025-01-10,GRNQ,7,20.24,4
2025-01-10,XTIA,8,17.95,13
2025-01-10,HURA,9,15.83,7
2025-01-10,MVST,10,15.45,9
2025-01-10,RGTIW,11,14.37,8
2025-01-10,LAES,12,13.16,5
2025-01-10,RR,13,12.92,9
2025-01-10,ZBAI,14,12.84,4
2025-01-10,STEX,15,12.21,2
2025-01-13,PHIO,1,33.54,23
2025-01-13,LITM,2,31.05,20
2025-01-13,CRMLW,3,29.43,2
2025-01-13,ATPC,4,23.96,9
2025-01-13,PDYN,5,20.35,6
2025-01-13,CMTL,6,20.0,6
2025-01-13,GRNQ,7,17.85,9
2025-01-13,DRCT,8,17.36,13
2025-01-13,STIM,9,16.94,10
2025-01-13,AIRS,10,15.31,6
2025-01-13,GCTK,11,15.09,13
2025-01-13,NUAIW,12,14.21,1
2025-01-13,MSW,13,13.68,4
2025-01-13,NCNA,14,13.06,2
2025-01-13,ESGL,15,13.04,7
2025-01-14,MGIH,1,46.67,6
2025-01-14,NNBR,2,24.46,12
2025-01-14,ALUR,3,22.33,3
2025-01-14,AMPX.WS,4,19.89,2
2025-01-14,TDUP,5,18.14,6
2025-01-14,XXII,6,17.64,9
2025-01-14,RPID,7,16.53,3
2025-01-14,FATE,8,16.11,7
2025-01-14,INTS,9,14.28,1
2025-01-14,CPIX,10,14.04,1
2025-01-14,AIMD,11,13.98,6
2025-01-14,PHIO,12,13.79,3
2025-01-14,RGTIW,13,13.26,10
2025-01-14,FGL,14,12.91,4
2025-01-14,ARQQ,15,12.24,4
2025-01-15,GCTK,1,17.32,7
2025-01-15,JXG,2,16.11,6
2025-01-15,WNW,3,14.95,12
2025-01-15,XXII,4,14.89,9
2025-01-15,VMAR,5,14.57,5
2025-01-15,TOI,6,13.15,4
2025-01-15,FEED,7,12.7,3
2025-01-15,BDMD,8,12.1,1
2025-01-15,FAMI,9,11.65,8
2025-01-15,CTKB,10,11.15,6
2025-01-15,ZBAI,11,10.87,5
2025-01-15,SES,12,10.68,6
2025-01-15,MASS,13,10.29,4
2025-01-15,ACON,14,10.2,11
2025-01-15,DFNS,15,10.2,4
2025-01-16,NEOVW,1,32.03,2
2025-01-16,BMRA,2,20.08,11
2025-01-16,MYSE,3,17.57,18
2025-01-16,AEON,4,16.96,20
2025-01-16,FSI,5,16.92,17
2025-01-16,GORO,6,14.71,5
2025-01-16,KULR,7,13.86,5
2025-01-16,WHLR,8,12.74,3
2025-01-16,ORKT,9,12.04,2
2025-01-16,SES,10,11.7,5
2025-01-16,ONEG,11,11.61,1
2025-01-16,ATRA,12,11.34,5
2025-01-16,VRME,13,11.16,4
2025-01-16,BZAI,14,11.11,3
2025-01-16,QUBT,15,10.79,4
2025-01-17,CRMLW,1,62.14,3
2025-01-17,XCUR,2,19.94,3
2025-01-17,TOI,3,18.89,8
2025-01-17,BDMD,4,17.11,9
2025-01-17,ZEO,5,16.04,6
2025-01-17,GSIT,6,15.75,16
2025-01-17,ZBAI,7,14.77,8
2025-01-17,DFNS,8,12.09,7
2025-01-17,ABVE,9,11.4,3
2025-01-17,BZAI,10,10.99,7
2025-01-17,GCTK,11,10.6,5
2025-01-17,XCH,12,10.17,6
2025-01-17,NBP,13,10.0,1
2025-01-17,PMAX,14,9.98,4
2025-01-17,ARQQ,15,9.48,6
2025-01-21,MDCXW,1,67.43,2
2025-01-21,HSDT,2,28.87,6
2025-01-21,ASST,3,24.06,14
2025-01-21,DOGZ,4,17.58,10
2025-01-21,SIDU,5,14.72,7
2025-01-21,RGTI,6,14.6,3
2025-01-21,LEDS,7,14.48,5
