date,symbol,day_class,prior_close,pm_open,pm_high,pm_low,close_925,open_930,close_930,max_gap_pct,gap_pct_925,gap_pct_930,held_925,held_930,qualified_when,pm_vol_total,avg_pm_vol_30d,rel_vol,rel_vol_stored,pillar3_pass,pm_range_pct,fade_pct_925,early_pm_vol,late_pm_vol,vol_acceleration,late_pm_trend_pct,bar_count,float_shares,market_cap,low_float
2025-01-02,ABTC,TRAP,0.4007,0.4413,0.4413,0.3899,,0.4029,0.4029,10.13,,0.55,False,False,HIT_ONLY,154981,,,,False,12.83,,1680,17428,10.37,,22,927600000,1011089445,False
2025-01-02,ACET,TRAP,0.962,0.985,1.11,0.9191,,0.9661,0.9661,15.38,,0.43,False,False,HIT_ONLY,79684,,,,False,19.84,,2969,0,,,18,9580000,67432455,True
2025-01-02,AEI,TRAP,1.02,1.74,2.9,1.72,2.08,2.09,2.07,184.31,103.92,104.9,True,True,HELD_BOTH,26339462,,,,False,115.69,0.436,5957594,1261997,0.21,2.97,271,38910000,95317870,False
2025-01-02,AENT,TRAP,9.06,,10.0,10.0,10.0,9.15,9.35,10.38,10.38,0.99,True,False,HELD_925_ONLY,13239,,,,False,,0.0,0,500,,,1,50960000,245614526,False
2025-01-02,AGPU,TRAP,0.82,,0.92,0.8632,,0.8367,0.8598,12.2,,2.04,False,False,HIT_ONLY,43507,,,,False,6.93,,0,592,,,8,14900000,7872957,False
2025-01-02,AIM,TRAP,0.198,,0.23,0.2024,0.206,0.2127,0.213,16.16,4.04,7.42,False,False,HIT_ONLY,88702,,,,False,13.94,0.75,0,8636,,,18,2860000,3914074,True
2025-01-02,AIRI,TRAP,4.07,,4.6378,4.21,4.55,4.3,4.405,13.95,11.79,5.65,True,False,HELD_925_ONLY,17396,,,,False,10.51,0.155,0,2750,,,12,4780000,15043696,True
2025-01-02,AISP,TRAP,6.26,6.76,6.94,6.35,6.4,6.4,6.35,10.86,2.24,2.24,False,False,HIT_ONLY,827835,,,,False,9.42,0.794,6094,19637,3.22,-1.08,122,34180000,83046621,False
2025-01-02,ALUR,TRAP,0.43,,0.4998,0.4324,0.4998,0.4995,0.4998,16.23,16.23,16.16,True,True,HELD_BOTH,218828,,,,False,15.67,0.0,0,8703,,8.65,27,12280000,13261514,False
2025-01-02,AMBO,TRAP,2.1,2.37,2.6,2.37,,2.1,2.482,23.81,,0.0,False,False,HIT_ONLY,35710,,,,False,10.95,,0,8559,,,7,5240000,6741048,True
2025-01-02,AMPG,TRAP,5.14,5.45,5.78,4.85,4.9,4.92,4.9297,12.45,-4.67,-4.28,False,False,HIT_ONLY,2845526,,,,False,18.09,1.375,217261,213256,0.98,-4.67,225,25180000,66982257,False
2025-01-02,ARBE,TRAP,1.86,1.97,2.12,1.86,2.08,2.0724,2.0724,13.98,11.83,11.42,True,True,HELD_BOTH,235516,,,,False,13.98,0.154,4352,25539,5.87,0.53,55,108860000,117568258,False
2025-01-02,AREN,TRAP,1.34,,1.53,1.4,,1.38,1.38,14.18,,2.99,False,False,HIT_ONLY,5440,,,,False,9.7,,0,0,,,2,47580000,152365057,False
2025-01-02,ARVN,TRAP,19.17,,22.94,19.92,,19.54,19.54,19.67,,1.93,False,False,HIT_ONLY,39553,,,,False,15.75,,0,0,,,2,64220000,734725929,False
2025-01-02,ASUR,TRAP,9.41,11.29,11.53,10.44,,9.55,9.55,22.53,,1.49,False,False,HIT_ONLY,5557,,,,False,11.58,,0,0,,,3,27760000,198511722,False
2025-01-02,ATOM,TRAP,11.6,11.7,13.2,11.7,,,,13.79,,,False,False,HIT_ONLY,1605,,,,False,12.93,,150,0,,,5,31680000,181532328,False
2025-01-02,AVXL,TRAP,10.74,10.99,12.0,10.81,,,,11.73,,,False,False,HIT_ONLY,7683,,,,False,11.08,,3999,0,,,19,89350000,374393918,False
2025-01-02,BAOS,TRAP,2.56,2.56,3.39,2.56,2.7501,3.0,3.0,32.42,7.43,17.19,False,True,HELD_930_ONLY,108905,,,,False,32.42,0.771,16474,19331,1.17,,50,1530000,4072528,True
2025-01-02,BLNE,TRAP,0.9629,0.9727,1.19,0.9727,,,,23.59,,,False,False,HIT_ONLY,40015,,,,False,22.57,,6661,0,,,48,28260000,75771256,False
2025-01-02,BNGO,TRAP,0.2884,0.3,0.318,0.273,,,,10.26,,,False,False,HIT_ONLY,185948,,,,False,15.6,,62111,0,,,72,10180000,11193599,False
2025-01-02,BNRG,TRAP,1.3,1.3,1.47,1.3,,,,13.08,,,False,False,HIT_ONLY,339769,,,,False,13.08,,150950,0,,,133,720000,1016509,True
2025-01-02,CLRO,TRAP,0.7824,0.85,1.01,0.6602,,,,29.09,,,False,False,HIT_ONLY,28099,,,,False,44.71,,20703,0,,,41,2240000,13830297,True
2025-01-02,CMCT,TRAP,0.225,0.3588,0.5937,0.2505,,,,163.87,,,False,False,HIT_ONLY,38998480,,,,False,152.53,,17185651,0,,,181,950000,2194118,True
2025-01-02,CNSP,TRAP,0.1204,0.13,0.1524,0.1228,,,,26.58,,,False,False,HIT_ONLY,1239074,,,,False,24.58,,585537,0,,,93,620000,2022145,True
2025-01-02,COEP,TRAP,5.5,6.85,7.3,5.5,,,,32.73,,,False,False,HIT_ONLY,42709,,,,False,32.73,,23941,0,,,56,5760000,69146653,True
2025-01-02,CPBI,TRAP,14.96,14.1,17.0,14.1,,,,13.64,,,False,False,HIT_ONLY,222,,,,False,19.39,,110,0,,,2,4210000,74475069,True
2025-01-02,CRIS,TRAP,3.06,3.91,5.89,3.65,3.92,3.8,3.81,92.48,28.1,24.18,True,True,HELD_BOTH,1033926,,,,False,73.2,0.696,236352,30214,0.13,2.62,261,12930000,14559035,False
2025-01-02,CURR,TRAP,1.8,1.81,2.86,1.56,,,,58.89,,,False,False,HIT_ONLY,1407784,,,,False,72.22,,1936,0,,,60,76610000,163948489,False
2025-01-02,CYN,TRAP,0.8491,0.88,0.9899,0.88,,,,16.58,,,False,False,HIT_ONLY,596867,,,,False,12.94,,279579,0,,,167,7970000,11562850,True
2025-01-02,DMRC,TRAP,37.45,37.91,58.5,37.91,,,,56.21,,,False,False,HIT_ONLY,1412,,,,False,54.98,,1212,0,,,3,21760000,104868678,False
2025-01-02,ETHZ,TRAP,1.82,2.4,2.4,1.96,,,,31.87,,,False,False,HIT_ONLY,8208,,,,False,24.18,,1163,0,,,19,19010000,66732926,False
2025-01-02,FLYE,TRAP,0.84,0.74,0.9838,0.74,,,,17.12,,,False,False,HIT_ONLY,178423,,,,False,29.02,,53432,0,,,107,1630000,4015669,True
2025-01-02,GDHG,TRAP,2.31,2.4,2.59,2.14,,,,12.12,,,False,False,HIT_ONLY,33693,,,,False,19.48,,11228,0,,,20,20030000,38060980,False
2025-01-02,GEOS,TRAP,10.02,12.0,12.0,10.35,,,,19.76,,,False,False,HIT_ONLY,302,,,,False,16.47,,0,0,,,3,12890000,120759781,False
2025-01-02,GMM,TRAP,3.88,3.88,4.3,3.88,,,,10.82,,,False,False,HIT_ONLY,4209,,,,False,10.82,,1814,0,,,9,45840000,73856400,False
2025-01-02,GRRR,TRAP,18.06,20.0,21.16,19.4001,19.72,19.5701,19.5701,17.17,9.19,8.36,False,False,HIT_ONLY,1448729,,,,False,9.74,0.465,11738,51527,4.39,-0.9,157,22670000,267494386,False
2025-01-02,HGTY,TRAP,9.65,9.97,11.0,9.5,,,,13.99,,,False,False,HIT_ONLY,307,,,,False,15.54,,101,0,,,3,342060000,4152657713,False
2025-01-02,HOUR,TRAP,2.25,2.43,2.4953,2.32,2.3596,2.47,2.47,10.9,4.87,9.78,False,False,HIT_ONLY,38528,,,,False,7.79,0.553,100,981,9.81,,17,35180000,67890295,False
2025-01-02,HUBC,TRAP,0.69,0.6902,0.8199,0.68,,,,18.83,,,False,False,HIT_ONLY,86000,,,,False,20.28,,24646,0,,,80,2590000,4804214,True
2025-01-02,HWH,TRAP,0.6449,0.6434,0.7272,0.6434,,,,12.76,,,False,False,HIT_ONLY,2936,,,,False,12.99,,100,0,,,10,6480000,11663182,True
2025-01-02,HYPD,TRAP,0.146,0.1502,0.1811,0.1233,,,,24.04,,,False,False,HIT_ONLY,7803766,,,,False,39.59,,3277888,0,,,181,8470000,30974376,True
2025-01-02,IBRX,TRAP,2.56,2.56,2.93,2.56,,,,14.45,,,False,False,HIT_ONLY,21934,,,,False,14.45,,9762,0,,,14,984970000,5929490734,False
2025-01-02,ICG,TRAP,3.3,3.39,3.68,3.27,3.51,3.8,3.674,11.52,6.36,15.15,False,True,HELD_930_ONLY,175265,,,,False,12.42,0.447,100,2267,22.67,-3.84,26,185420000,94179524,False
2025-01-02,IDAI,TRAP,0.8832,0.8817,1.22,0.8817,,,,38.13,,,False,False,HIT_ONLY,1010074,,,,False,38.3,,363992,0,,,170,5250000,14635309,True
2025-01-02,INAB,TRAP,0.2572,0.2603,0.286,0.2572,,,,11.2,,,False,False,HIT_ONLY,3501,,,,False,11.2,,1000,0,,,8,9770000,16797746,True
2025-01-02,INSE,TRAP,9.05,10.0,10.0,9.68,,,,10.5,,,False,False,HIT_ONLY,407,,,,False,3.54,,0,0,,,3,26930000,226185685,False
2025-01-02,INUV,TRAP,0.6464,0.69,0.784,0.67,,,,21.29,,,False,False,HIT_ONLY,176872,,,,False,17.64,,16464,0,,,88,14610000,26436091,False
2025-01-02,IOR,TRAP,18.0,17.4,22.0,17.4,,,,22.22,,,False,False,HIT_ONLY,379,,,,False,25.56,,100,0,,,3,4070000,73191201,True
2025-01-02,IPDN,TRAP,0.5,0.55,0.55,0.55,,,,10.0,,,False,False,HIT_ONLY,147,,,,False,,,147,0,,,1,5780000,8396976,True
2025-01-02,KUST,TRAP,0.5253,0.5489,0.5789,0.5251,,,,10.2,,,False,False,HIT_ONLY,29640,,,,False,10.24,,3750,0,,,26,800000,1073348,True
2025-01-02,LAES,TRAP,6.15,6.8,7.68,6.48,6.85,6.82,6.87,24.88,11.38,10.89,True,True,HELD_BOTH,26241700,,,,False,19.51,0.542,2109764,1627942,0.77,-2.96,330,177400000,717411985,False
2025-01-02,LICN,TRAP,0.1776,0.2029,0.2029,0.175,,,,14.25,,,False,False,HIT_ONLY,2453901,,,,False,15.71,,941401,0,,,163,16329999,48980476,False
2025-01-02,LIDR,TRAP,1.27,1.44,1.62,1.39,,,,27.56,,,False,False,HIT_ONLY,130014,,,,False,18.11,,33745,0,,,90,45050000,72538543,False
2025-01-02,LITM,TRAP,0.96,1.09,1.09,0.91,,,,13.54,,,False,False,HIT_ONLY,1503144,,,,False,18.75,,428088,0,,,179,15490000,45063476,False
