run_id,rank,total_trades,winners,losers,win_rate,profit_factor,total_pnl,avg_daily_pnl,max_drawdown,days_traded,objective,a_enable_buying_volume,a_enable_float_filter,a_enable_last_1min_volume,a_enable_last_5min_volume,a_enable_market_cap_filter,a_enable_premarket_gain,a_enable_price_range,a_enable_relative_volume,a_enable_spread_filter,a_max_float,a_max_market_cap,a_max_price,a_max_spread,a_min_buying_volume,a_min_last_1min_volume,a_min_last_5min_volume,a_min_premarket_gain,a_min_price,a_min_relative_volume,account_size,b_abcd_d_light_vol,b_abcd_min_pullback_pct,b_bull_flag_breakout_vol_min,b_bull_flag_light_vol,b_bull_flag_pole_vol_min,b_dip_buy_light_vol,b_enable_abcd,b_enable_bull_flag,b_enable_dip_buy,b_enable_ema9,b_enable_flat_top,b_enable_macd,b_enable_micro_pullback,b_enable_rr,b_enable_trend,b_flat_top_resistance_tol,b_flat_top_vol_increase_tol,b_micro_pb_green_pct,b_micro_pb_light_vol,b_micro_pb_swing_tol,b_min_rr_ratio,b_stop_buffer,c_early_time_decay_hour,c_early_time_decay_min_gain_pct,c_early_time_decay_minute,c_ema_cross_qty_pct,c_enable_macd_flip_exit,c_enable_resistance_exit,c_enable_volume_dry_up_exit,c_macd_flip_qty_pct,c_resistance_exit_qty_pct,c_resistance_tolerance,c_resistance_touch_threshold,c_selling_pressure_qty_pct,c_selling_pressure_ratio,c_target1_qty_pct,c_target1_ratio,c_target2_qty_pct,c_target2_ratio,c_time_decay_hour,c_trailing_stop_distance,c_volume_dry_up_qty_pct,c_volume_dry_up_threshold,max_position_pct,risk_pct
optuna_00193,1,1102,896,206,81.31,1.3316,4672.58,43.34,1115.77,270,4672.58,False,False,True,True,False,False,True,False,False,20000000,500000000,20.016104150729905,0.15,50000,10000,100000,10.0,1.248854157596599,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5541729196447538,False,False,True,True,True,True,True,True,True,0.09685258640821627,1.739644547335432,0.5787508531509203,0.860774977914268,0.9339158682420557,1.999414427766932,0.07613701357815986,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.24931688233673963,1.503705341855483,0.3003249694149702,2.192621416657667,0.27388866851896765,2.123567637745124,10,0.2622988122747105,0.5,0.6,20.0,2.0
optuna_00170,2,1109,910,199,82.06,1.3229,4585.66,43.32,1345.4,270,4585.66,False,False,True,True,False,False,True,False,False,20000000,500000000,20.674888041278884,0.15,50000,10000,100000,10.0,1.0032967651529638,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5384717187698649,False,False,True,True,True,True,True,True,True,0.09991811307015114,1.7172277232602216,0.5742001838240841,0.8561068803031548,0.9407836615204901,1.9047551361384971,0.08566900656601657,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.2859281642887003,1.4698711475521442,0.33464145306162746,2.0097615646256823,0.2969950171477312,2.251254986594989,10,0.2569026825835922,0.5,0.6,20.0,2.0
optuna_00188,3,1113,910,203,81.76,1.3216,4552.35,43.4,1348.96,270,4552.35,False,False,True,True,False,False,True,False,False,20000000,500000000,20.112189908909414,0.15,50000,10000,100000,10.0,1.1548271808692299,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5665707163987587,False,False,True,True,True,True,True,True,True,0.0997952205551238,1.7016664584887744,0.574577585165332,0.854610163369296,0.935957743631103,1.9629140389733948,0.07879392229439207,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.28814758221415093,1.5382573646286493,0.3202623418461883,2.0844993633401083,0.2924844722024553,2.06939022178053,10,0.2658759120850024,0.5,0.6,20.0,2.0
optuna_00196,4,1125,914,211,81.24,1.3159,4462.03,41.56,1138.67,270,4462.03,False,False,True,True,False,False,True,False,False,20000000,500000000,19.958880488219886,0.15,50000,10000,100000,10.0,1.1757868988938007,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5494321598700778,False,False,True,True,True,True,True,True,True,0.09985357259622134,1.691147098765188,0.585073524324375,0.8246897946954155,0.9354618722944014,1.9955678728526172,0.07838547563392756,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.25254231730577775,1.203183323024936,0.2870524039754262,2.1745939971745467,0.2820647784681464,2.1386303767780515,10,0.25858086895881255,0.5,0.6,20.0,2.0
optuna_00171,5,1116,914,202,81.9,1.306,4429.47,42.79,1310.3,270,4429.47,False,False,True,True,False,False,True,False,False,20000000,500000000,20.70377046479639,0.15,50000,10000,100000,10.0,1.0030494564468484,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.545797696678428,False,False,True,True,True,True,True,True,True,0.09943606812767196,1.6840496747302391,0.5728005817364608,0.8985979853179876,0.9400609282087026,1.9103829939833303,0.08040907550182898,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.28297071304056726,1.4909925861601125,0.3336072086680865,2.026856850764742,0.2933360851704294,2.2456499221685684,10,0.2558174310674204,0.5,0.6,20.0,2.0
optuna_00218,6,1099,903,196,82.17,1.3202,4420.05,43.33,1349.04,270,4420.05,False,False,True,True,False,False,True,False,False,20000000,500000000,19.501405415162694,0.15,50000,10000,100000,10.0,1.1955691766523027,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5721570923008832,False,False,True,True,True,True,True,True,True,0.09998585484795344,1.7088045504509326,0.5765820175336361,0.8400577571628101,0.9345426926118452,1.839842962477602,0.0779761082810373,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.31527616560233457,1.5640076129938982,0.37774389866721925,2.1926121656426867,0.25199530832656486,2.3759718960859404,10,0.264589767382593,0.5,0.6,20.0,2.0
optuna_00242,7,1109,908,201,81.88,1.3091,4419.63,42.99,1359.58,270,4419.63,False,False,True,True,False,False,True,False,False,20000000,500000000,19.784932587460943,0.15,50000,10000,100000,10.0,1.1437325323185181,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5870201890137745,False,False,True,True,True,True,True,True,True,0.0999666878580611,1.2334387200051107,0.5830268828573694,0.8290250239800359,0.9304712874723269,1.9168952493673008,0.0772284715462632,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.28387264292874514,1.5722729713472112,0.3685563269855015,2.266986487230861,0.20122187193577473,2.294819865787372,10,0.2580886517446678,0.5,0.6,20.0,2.0
optuna_00187,8,1103,899,204,81.5,1.3095,4393.61,42.46,1398.87,270,4393.61,False,False,True,True,False,False,True,False,False,20000000,500000000,20.09812159255392,0.15,50000,10000,100000,10.0,1.1661303270895258,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5431364371069479,False,False,True,True,True,True,True,True,True,0.09976415243716891,1.7074639065328958,0.5761846540657466,0.8502448011517321,0.9350069881346817,1.967673920966403,0.07808837451778665,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.29486733326016284,1.49332479864385,0.3162751910283605,2.091223298243776,0.29246662215375085,2.1456297281094407,10,0.24820297109526634,0.5,0.6,20.0,2.0
optuna_00212,9,1105,899,206,81.36,1.3059,4350.45,41.98,1052.24,270,4350.45,False,False,True,True,False,False,True,False,False,20000000,500000000,19.88349066936774,0.15,50000,10000,100000,10.0,1.1148074184085794,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5545219617435438,False,False,True,True,True,True,True,True,True,0.09999699277721162,1.7036530105240015,0.5145099664167976,0.856423287711875,0.9306876886975955,1.8330174681310636,0.07961981803951401,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.2636400432277085,1.2913809627072046,0.37547341521480854,2.0822739809653696,0.2499205305519093,2.1432956982705753,10,0.25551629139308124,0.5,0.6,20.0,2.0
optuna_00222,10,1094,896,198,81.9,1.3133,4328.95,42.6,1108.06,270,4328.95,False,False,True,True,False,False,True,False,False,20000000,500000000,19.6819184535767,0.15,50000,10000,100000,10.0,1.2963195191071795,5.0,5000.0,0.8,0.15,0.8,0.7,0.8,0.5736143065124512,False,False,True,True,True,True,True,True,True,0.09992793730378524,1.2801226785224247,0.5757511441174561,0.8423039347683962,0.9316039873706276,1.871443291757637,0.07731599145118158,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.3107347612654442,1.5566595005247543,0.40122558258373797,2.2686704950224175,0.21037240739412402,2.3912328418870072,10,0.267204939323031,0.5,0.6,20.0,2.0
