date,symbol
2025-01-10,ABTC
2025-01-10,ARTW
2025-01-10,DTIL
2025-01-10,MVST
2025-01-10,OPFI
2025-01-10,PRZO
2025-01-10,SENS
2025-01-13,DCTH
2025-01-13,GCTK
2025-01-13,GRNQ
2025-01-13,PHIO
2025-01-13,RRGB
2025-01-13,SLXN
2025-01-13,TRAW
2025-01-13,VVPR
2025-01-14,INGN
2025-01-14,PIII
2025-01-14,RILY
2025-01-14,TDUP
2025-01-15,BOF
2025-01-15,BRLT
2025-01-15,BTOG
2025-01-15,COMP
2025-01-15,FAMI
2025-01-15,HSDT
2025-01-15,MASS
2025-01-15,MGIH
2025-01-15,OSTX
2025-01-15,RPID
2025-01-15,TAOP
2025-01-16,ACON
2025-01-16,BMRA
2025-01-16,DOYU
2025-01-16,FSI
2025-01-16,HUYA
2025-01-16,PMAX
2025-01-16,WHLR
2025-01-17,BTCS
2025-01-17,BTCT
2025-01-17,DFNS
2025-01-17,GSIT
2025-01-17,PRZO
2025-01-17,TMC
2025-01-17,ZBAI
2025-01-21,ASST
2025-01-21,BAK
2025-01-21,BTCT
2025-01-21,DWTX
2025-01-21,EOLS
2025-01-21,HSDT
2025-01-21,IONR
2025-01-21,LEDS
2025-01-21,NAK
2025-01-21,REPL
2025-01-21,TMQ
2025-01-21,VATE
2025-01-22,AGPU
2025-01-22,ANIX
2025-01-22,ASST
2025-01-22,BLBX
2025-01-22,CDIO
2025-01-22,HYFT
2025-01-22,MDAI
2025-01-22,MGX
2025-01-22,NTRB
2025-01-22,NUAI
2025-01-22,PDYN
2025-01-22,RVSN
2025-01-22,SOGP
2025-01-23,EVLV
2025-01-23,IVA
2025-01-23,KOPN
2025-01-23,QNRX
2025-01-23,SDST
2025-01-23,SES
2025-01-23,TAL
2025-01-23,VNCE
2025-01-23,XCUR
2025-01-24,ACON
2025-01-24,ALUR
2025-01-24,DDD
2025-01-24,DWTX
2025-01-24,ELAB
2025-01-24,EVAX
2025-01-24,FPH
2025-01-24,NVNI
2025-01-24,NVOX
2025-01-24,PRFX
2025-01-24,RNAZ
2025-01-27,BLNE
2025-01-27,BNZI
2025-01-27,CLIK
2025-01-27,FMST
2025-01-27,HWH
2025-01-27,JG
2025-01-27,NVD
2025-01-27,ZKIN
2025-01-28,DXR
2025-01-28,MOB
2025-01-28,SGRY
2025-01-28,SLXN
2025-01-28,TC
2025-01-28,ZKIN
2025-01-29,BNZI
2025-01-29,BRAG
2025-01-29,CHAI
2025-01-29,EVTV
2025-01-29,HURA
2025-01-29,LGCL
2025-01-29,NWTG
2025-01-29,OKYO
2025-01-29,PACK
2025-01-29,SLXN
2025-01-29,SXTP
2025-01-29,TLF
2025-01-30,ATHE
2025-01-30,BNZI
2025-01-30,CELZ
2025-01-30,FEED
2025-01-30,KZIA
2025-01-30,NWTG
2025-01-30,ONEW
2025-01-30,PCSA
2025-01-30,XFOR
2025-01-31,CIFR
2025-01-31,CYCN
2025-01-31,HUBC
2025-01-31,LVO
2025-01-31,NCEL
2025-01-31,ORKT
2025-01-31,REBN
2025-01-31,VSA
2025-02-03,BCTX
2025-02-03,GHRS
2025-02-03,IVVD
2025-02-03,KC
2025-02-03,MX
2025-02-03,REBN
2025-02-03,SSYS
2025-02-03,USGO
2025-02-04,CPIX
2025-02-04,EMPD
2025-02-04,EVAX
2025-02-04,QNTM
2025-02-04,XGN
2025-02-05,ACB
2025-02-05,ASST
2025-02-05,BBAI
2025-02-05,CRTO
2025-02-05,CYN
2025-02-05,EDBL
2025-02-05,MAT
2025-02-05,PLCE
2025-02-05,SNES
2025-02-06,APPS
2025-02-06,HKD
2025-02-06,IVVD
2025-02-06,PTON
2025-02-06,QNTM
2025-02-06,RANI
2025-02-06,RLMD
2025-02-06,RNAZ
2025-02-06,SBET
2025-02-06,UGRO
2025-02-07,CLSK
2025-02-07,CRMLW
2025-02-07,DC
2025-02-07,DC.WS
2025-02-07,DRIO
2025-02-07,FARM
2025-02-07,PGY
2025-02-07,PINS
2025-02-07,SEGG
2025-02-07,UPC
2025-02-10,ATLX
2025-02-10,BDRX
2025-02-10,BNAI
2025-02-10,BOOM
2025-02-10,CYN
2025-02-10,DOMH
2025-02-10,FHTX
2025-02-10,MNTS
2025-02-10,MPAA
2025-02-10,NCEL
2025-02-10,PNBK
2025-02-10,SLDB
2025-02-11,CYN
2025-02-11,DOMH
2025-02-11,INAB
2025-02-11,PERF
2025-02-11,RAIN
2025-02-11,SATL
2025-02-12,DUO
2025-02-12,IPDN
2025-02-12,NEUP
2025-02-12,SMCL
2025-02-13,DNOW
2025-02-13,GNPX
2025-02-13,MBRX
2025-02-13,MKZR
2025-02-13,OPRT
2025-02-13,OPTU
2025-02-13,OTLY
2025-02-13,PGY
2025-02-13,PLRX
2025-02-13,SBC
2025-02-13,SOC
2025-02-14,CNSP
2025-02-14,DCH
2025-02-14,ELME
2025-02-14,FLYX
2025-02-14,MBRX
2025-02-14,MDCX
2025-02-14,MKZR
2025-02-14,NUS
2025-02-14,OSTX
2025-02-14,PONY
2025-02-14,RCEL
2025-02-14,SOGP
2025-02-14,TRON
2025-02-14,WRD
2025-02-14,ZH
2025-02-18,AGRO
2025-02-18,CBIO
2025-02-18,CETX
2025-02-18,DFSC
2025-02-18,EFOI
2025-02-18,ESLA
2025-02-18,GRAB
2025-02-18,HCTI
2025-02-18,IPHA
2025-02-18,LXRX
2025-02-18,OSCR
2025-02-18,PCT
2025-02-18,PGY
2025-02-18,PRFX
2025-02-18,SLDB
2025-02-18,TRON
2025-02-18,WRD
2025-02-18,ZSTK
2025-02-19,ADEA
2025-02-19,CD
2025-02-19,EDIT
2025-02-19,HIND
2025-02-19,SINT
2025-02-19,SMCL
2025-02-19,UIS
2025-02-20,AMPL
2025-02-20,ASBP
2025-02-20,CADL
2025-02-20,CVM
2025-02-20,HLF
2025-02-20,KYNB
2025-02-20,LUNG
2025-02-20,MNDR
2025-02-20,PCLA
2025-02-20,SUIG
2025-02-20,U
2025-02-20,VNET
2025-02-20,WOK
2025-02-20,XOS
2025-02-21,AMN
2025-02-21,ESLA
2025-02-21,FIVN
2025-02-21,GDEV
2025-02-21,GDYN
2025-02-21,NAAS
2025-02-21,RNTX
2025-02-21,TUYA
2025-02-21,UPC
2025-02-24,ATPC
2025-02-24,CNEY
2025-02-24,CRML
2025-02-24,GSUN
2025-02-24,MBAI
2025-02-24,MFI
2025-02-24,MKZR
2025-02-24,PEPG
