date,day_class,pct_profitable,avg_pnl,n_configs,avg_float,avg_gap_pct,avg_late_pm_trend,avg_mcap,avg_pm_range_pct,avg_pm_volume,avg_price,day_of_week,early_pm_volume,gap_spread,late_pm_volume,max_gap_pct,max_pm_range_pct,max_pm_volume,median_float,median_gap_pct,median_mcap,median_pm_range_pct,median_pm_volume,median_price,n_10_to_20,n_5_to_10,n_faded,n_fading_late,n_float_under_10m,n_float_under_20m,n_gap_100plus,n_gap_20plus,n_gap_50plus,n_gappers,n_holding,n_mcap_under_100m,n_mcap_under_500m,n_over_20,n_total_stocks_trading_pm,n_trending_up_late,n_under_5,n_vol_100k,n_vol_1m,n_vol_500k,pct_faded,pct_low_float,pct_trending_up,pm_vol_acceleration,total_pm_volume,vol_concentration_top1,vol_concentration_top2
2025-01-02,TRAP,0.125,-101.22,88,73088396.1981,31.4722,-0.3735,426260139.2547,21.5050,1177161.1759,4.4249,3,37117492,840.4132,3786988,850.4132,152.5333,38998480,14565000.0000,15.1947,67207356.0000,14.6129,32605.0000,1.4400,11,12,67,7,41,60,5,34,9,108,41,67,91,4,1048,7,81,37,15,23,0.6204,0.3796,0.4667,0.1020,127133407,0.3068,0.4371
2025-01-03,TRAP,0.167,-59.46,24,108356727.2545,27.6142,6.8461,293407731.1273,21.1503,1527104.3091,3.2646,4,18651703,148.1788,5993137,158.2160,117.4100,19186783,39600000.0000,17.4510,67544972.0000,15.8749,67209,1.7700,4,10,25,1,21,27,2,22,7,55,30,32,47,0,912,4,41,22,11,13,0.4545,0.3818,0.8000,0.3213,83990737,0.2284,0.4263
2025-01-06,EASY,0.615,5.43,13,106765359.9760,42.4493,1.0977,292887193.8320,25.0974,3412443.5923,3.9909,0,41682648,1293.3291,99102764,1303.5088,242.3611,103637986,15490000.0000,13.9222,43388414.0000,14.2826,128611.0000,1.6550,9,11,77,40,46,68,8,39,13,130,53,83,108,3,1686,35,107,68,29,41,0.5923,0.3538,0.4023,2.3776,443617667,0.2336,0.4394
2025-01-07,SKILL,0.545,4.51,11,104432923.0615,27.9126,-1.2579,442045392.2154,24.8518,9089663.5758,3.7144,1,6140952,172.6086,108918489,182.7273,141.5254,406158290,30380000.0000,16.9645,79104762.0000,15.9611,69068.5000,2.3600,4,11,46,23,20,24,2,26,9,66,20,37,54,1,1405,21,50,28,11,14,0.6970,0.3030,0.4565,17.7364,599917796,0.6770,0.7621
2025-01-08,TRAP,0.175,-66.18,40,64259661.0000,40.4269,0.8132,255131867.7797,32.8612,2849214.9000,3.2509,2,255254,309.4915,25031027,319.4915,220.1799,39878664,37390000.0000,17.8681,95317870.0000,18.8796,62331.5000,2.0300,3,5,39,13,18,23,5,27,9,60,21,32,53,0,1375,17,52,27,15,16,0.6500,0.3000,0.5312,98.0632,170952894,0.2333,0.4137
2025-01-10,EASY,0.727,11.46,99,92956666.6437,274.8196,-1.2011,1202657207.7816,101.6855,1772583.7065,4.7739,4,4572280,23137.4924,42875333,23147.5248,7405.7426,34525681,22900000.0000,15.6906,76608451.0000,15.6938,95169.5000,1.8700,5,13,52,40,31,42,3,31,10,92,40,52,69,4,1640,22,70,44,24,29,0.5652,0.3370,0.3143,9.3772,163077701,0.2117,0.3054
2025-01-13,EASY,0.800,86.64,35,54231692.2923,59.5577,0.3334,166479080.9385,24.1955,2039374.8529,3.5735,0,278837,2015.8114,26936309,2025.8824,140.8402,45768689,9060000.0000,15.6383,17790000.0000,15.3783,30429.5000,1.6950,8,6,39,20,34,42,4,23,8,68,29,46,61,0,1465,18,54,28,16,18,0.5735,0.5000,0.4000,96.6023,138677490,0.3300,0.5806
2025-01-14,MIXED,0.385,-4.07,13,4072823999.9750,23.3273,3.0494,922955214.1000,18.2990,1065056.9036,3.4423,1,1161622,389.8936,15995696,400.0000,97.6471,13045223,41845000.0000,14.4776,81266795.0000,14.3713,48026,1.8800,2,17,43,11,25,35,1,25,3,83,40,42,60,1,1383,36,63,35,16,21,0.5181,0.3012,0.6792,13.7701,88399723,0.1476,0.2686
2025-01-15,EASY,0.684,12.16,19,183307499.9881,22.2541,2.8494,730593431.5833,20.2955,2145213.8736,4.1936,2,6604811,93.0798,36075919,103.1250,103.1250,53795781,42810000.0000,14.9826,86581622.0000,14.6096,56634,1.9800,7,12,35,19,26,36,1,30,6,87,52,45,60,2,1537,35,66,39,19,21,0.4023,0.2989,0.6140,5.4621,186633607,0.2882,0.4242
2025-01-16,EASY,0.643,31.35,14,92390652.1739,77.3174,1.5144,613876415.5000,29.7221,5402528.1667,3.7093,3,2722212,2251.5330,81432440,2261.5849,225.6857,86246239,19835000.0000,17.2971,84703744.5000,15.1209,228362.0000,1.9000,2,4,31,22,14,23,4,20,7,48,17,24,37,2,1340,11,40,29,14,21,0.6458,0.2917,0.3056,29.9141,259321352,0.3326,0.5807
