date,p23_count,gr_topn_count,overlap,overlap_pct,p23_only_count,gr_only_count
2025-01-10,7,7,0,0.0,7,7
2025-01-13,8,8,2,25.0,6,6
2025-01-14,4,4,0,0.0,4,4
2025-01-15,11,11,1,9.1,10,10
2025-01-16,7,7,2,28.6,5,5
2025-01-17,7,7,2,28.6,5,5
2025-01-21,12,12,5,41.7,7,7
2025-01-22,13,13,5,38.5,8,8
2025-01-23,9,9,3,33.3,6,6
2025-01-24,11,11,5,45.5,6,6
2025-01-27,8,8,2,25.0,6,6
2025-01-28,6,6,1,16.7,5,5
2025-01-29,12,12,5,41.7,7,7
2025-01-30,9,9,2,22.2,7,7
2025-01-31,8,8,3,37.5,5,5
2025-02-03,8,8,2,25.0,6,6
2025-02-04,5,5,4,80.0,1,1
2025-02-05,9,9,1,11.1,8,8
2025-02-06,10,10,3,30.0,7,7
2025-02-07,10,10,3,30.0,7,7
2025-02-10,12,12,4,33.3,8,8
2025-02-11,6,6,1,16.7,5,5
2025-02-12,4,4,0,0.0,4,4
2025-02-13,11,11,1,9.1,10,10
2025-02-14,15,15,6,40.0,9,9
2025-02-18,18,18,4,22.2,14,14
2025-02-19,7,7,2,28.6,5,5
2025-02-20,14,14,5,35.7,9,9
2025-02-21,9,9,2,22.2,7,7
2025-02-24,9,9,4,44.4,5,5
2025-02-25,14,14,5,35.7,9,9
2025-02-26,12,12,2,16.7,10,10
2025-02-27,13,13,4,30.8,9,9
2025-02-28,8,8,1,12.5,7,7
2025-03-03,11,11,4,36.4,7,7
2025-03-04,6,6,2,33.3,4,4
2025-03-05,8,8,2,25.0,6,6
2025-03-06,4,4,1,25.0,3,3
2025-03-07,10,10,2,20.0,8,8
2025-03-10,8,8,3,37.5,5,5
2025-03-11,7,7,0,0.0,7,7
2025-03-12,12,12,3,25.0,9,9
2025-03-13,12,12,1,8.3,11,11
2025-03-14,11,11,2,18.2,9,9
2025-03-17,9,9,1,11.1,8,8
2025-03-18,7,7,1,14.3,6,6
2025-03-19,7,7,2,28.6,5,5
2025-03-20,6,6,2,33.3,4,4
2025-03-21,10,10,3,30.0,7,7
2025-03-24,6,6,1,16.7,5,5
2025-03-25,8,8,3,37.5,5,5
2025-03-26,6,6,3,50.0,3,3
2025-03-27,11,11,2,18.2,9,9
2025-03-28,9,9,1,11.1,8,8
2025-03-31,6,6,2,33.3,4,4
2025-04-01,11,11,3,27.3,8,8
2025-04-02,13,13,5,38.5,8,8
2025-04-03,8,8,1,12.5,7,7
2025-04-04,11,11,1,9.1,10,10
2025-04-07,10,10,1,10.0,9,9
2025-04-08,12,12,3,25.0,9,9
2025-04-09,6,6,2,33.3,4,4
2025-04-10,9,9,1,11.1,8,8
2025-04-11,6,6,1,16.7,5,5
2025-04-14,14,14,5,35.7,9,9
2025-04-15,9,9,1,11.1,8,8
2025-04-16,8,8,2,25.0,6,6
2025-04-17,8,8,2,25.0,6,6
2025-04-21,6,6,1,16.7,5,5
2025-04-22,7,7,2,28.6,5,5
2025-04-23,13,13,3,23.1,10,10
2025-04-24,12,12,3,25.0,9,9
2025-04-25,5,5,0,0.0,5,5
2025-04-28,7,7,2,28.6,5,5
2025-04-29,7,7,1,14.3,6,6
2025-04-30,8,8,1,12.5,7,7
2025-05-01,5,5,0,0.0,5,5
