date,minute_symbols,minute_complete_symbols,minute_gap_symbols,minute_total_bars,minute_min_price,minute_max_price,minute_symbols_outside_1_20,hour_symbols,hour_complete_symbols,hour_gap_symbols,hour_total_bars,hour_min_price,hour_max_price,hour_symbols_outside_1_20,daily_symbols,daily_complete_symbols,daily_gap_symbols,daily_total_bars,daily_min_price,daily_max_price,daily_symbols_outside_1_20
2024-12-02,368,9,359,31093,0.0442,32.5,40,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-03,371,8,363,29808,0.043,28.23,40,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-04,370,5,365,29159,0.046,31.075,38,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-05,369,6,363,29249,0.0451,32.6985,39,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-06,370,5,365,29184,0.042,50.82,40,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-09,371,9,362,30909,0.0425,32.0,39,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-10,370,9,361,29418,0.0408,29.65,40,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-11,371,7,364,29685,0.0405,30.565,43,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-12,370,10,360,29343,0.0385,32.36,38,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-13,372,9,363,29405,0.0391,32.6,39,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-16,375,10,365,30921,0.0391,36.74,41,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-17,373,12,361,31184,0.0424,40.75,36,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-18,378,12,366,30267,0.0433,42.9,37,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-19,376,13,363,32130,0.043,55.55,36,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-20,376,10,366,30570,0.0403,49.12,32,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-23,379,11,368,30837,0.0394,53.8707,35,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-24,374,12,362,29579,0.0383,48.8,31,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-25,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-26,375,12,363,30112,0.0397,59.2573,33,0,0,0,0,,,0,0,0,0,0,,,0
2024-12-27,378,12,366,31795,0.0395,90.64,28,0,0,0,0,,,0,1957,1957,0,1957,0.0391,165.7589,301
2024-12-30,380,16,364,32134,0.0395,71.0,31,0,0,0,0,,,0,3208,3208,0,3208,0.039,165.7589,510
2024-12-31,380,13,367,31137,0.04,65.0,30,0,0,0,0,,,0,3209,3209,0,3209,0.0396,165.7589,512
2025-01-02,239,3,236,19995,0.1312,42.215,43,0,0,0,0,,,0,3213,3213,0,3213,0.04,165.7589,508
2025-01-03,9,2,7,1274,2.72,18.52,0,0,0,0,0,,,0,3214,3214,0,3214,0.0405,165.7589,505
2025-01-06,3079,38,3041,236922,0.04,145.97,493,1416,404,1012,3370,0.0389,143.1,313,3214,3214,0,3214,0.0401,165.7589,504
2025-01-07,3081,24,3057,228411,0.1051,132.0296,484,1160,341,819,2745,0.107,132.64,267,3215,3215,0,3215,0.085,165.7589,504
2025-01-08,3045,22,3023,219737,0.048,128.0,477,1267,357,910,2927,0.054,123.71,285,3215,3215,0,3215,0.048,165.7589,501
2025-01-09,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0
2025-01-10,3088,22,3066,231280,0.0966,128.75,471,1283,340,943,2980,0.109,104.4,284,3215,3215,0,3215,0.092,165.7589,485
2025-01-13,3065,20,3045,226697,0.089,124.88,464,1364,361,1003,3178,0.0999,95.68,302,3217,3217,0,3217,0.089,165.7589,483
2025-01-14,3070,19,3051,211986,0.0735,123.51,466,1048,271,777,2413,0.0735,119.11,247,3221,3221,0,3221,0.0745,165.7589,488
2025-01-15,3067,22,3045,220938,0.0196,123.015,488,1050,275,775,2413,0.0514,99.24,245,3223,3223,0,3223,0.033,165.7589,516
2025-01-16,3068,15,3053,207176,0.0402,119.77,488,1074,287,787,2508,0.0377,107.8,255,3226,3226,0,3226,0.0391,165.7589,514
2025-01-17,3043,23,3020,207467,0.0378,117.82,493,1075,275,800,2433,0.0366,111.14,260,3227,3227,0,3227,0.038,165.7589,523
2025-01-21,3090,16,3074,221661,0.0351,121.26,510,1346,395,951,3215,0.036,120.8,312,3227,3227,0,3227,0.032,165.7589,529
2025-01-22,3090,22,3068,213411,0.0328,130.5,504,1130,337,793,2662,0.035,125.75,284,3227,3227,0,3227,0.032,165.7589,528
2025-01-23,3062,17,3045,205381,0.0325,137.17,502,1075,304,771,2510,0.033,128.37,279,3230,3230,0,3230,0.0325,165.7589,527
2025-01-24,3072,11,3061,206689,0.034,150.21,505,1092,316,776,2615,0.0334,140.35,289,3230,3230,0,3230,0.035,165.7589,528
2025-01-27,3085,20,3065,224194,0.032,130.69,515,1525,500,1025,3759,0.0313,126.0,331,3230,3230,0,3230,0.0321,165.7589,533
2025-01-28,3081,13,3068,204660,0.0281,139.61,504,1108,320,788,2596,0.0321,131.8,275,3232,3232,0,3232,0.0281,165.7589,524
2025-01-29,3065,12,3053,195413,0.026,144.18,492,996,294,702,2389,0.0247,142.65,253,3233,3233,0,3233,0.0251,165.7589,524
2025-01-30,3078,14,3064,203160,0.023,147.19,496,1060,277,783,2453,0.0244,141.69,272,3236,3236,0,3236,0.023,165.7589,523
2025-01-31,3070,11,3059,204674,0.025,159.94,499,1016,289,727,2406,0.0244,145.8,251,3238,3238,0,3238,0.0251,165.7589,524
2025-02-03,3110,20,3090,231619,0.0251,151.245,496,1548,427,1121,3599,0.025,147.0,321,3239,3239,0,3239,0.0255,165.7589,516
2025-02-04,6,3,3,1264,2.2109,10.84,0,989,251,738,2185,0.026,223.72,245,3239,3239,0,3239,0.0235,240.3,516
2025-02-05,3085,13,3072,206252,0.0192,227.4156,503,1064,281,783,2460,0.024,224.1,238,3243,3243,0,3243,0.0192,227.4156,527
2025-02-06,3069,17,3052,207082,0.0208,249.0,508,1152,351,801,2761,0.0205,222.5,248,3245,3245,0,3245,0.0208,261.44,530
2025-02-07,3096,13,3083,212244,0.017,280.0,506,1060,303,757,2498,0.019,273.84,249,3247,3247,0,3247,0.0166,283.2816,536
2025-02-10,3104,12,3092,212617,0.0689,279.2,503,1298,371,927,3064,0.0699,266.59,282,3247,3247,0,3247,0.0689,285.7,522
2025-02-11,3084,9,3075,205899,0.062,294.32,493,1156,341,815,2742,0.071,288.28,275,3249,3249,0,3249,0.0732,294.32,523
2025-02-12,3105,12,3093,212593,0.072,282.6,488,1058,297,761,2485,0.0757,271.5,243,3251,3251,0,3251,0.0706,288.99,510
2025-02-13,3078,11,3067,204552,0.0654,292.24,490,1076,293,783,2533,0.0689,285.7,248,3258,3258,0,3258,0.0665,292.24,522
2025-02-14,3094,18,3076,208779,0.062,303.44,509,1189,357,832,2791,0.066,288.75,275,3261,3261,0,3261,0.062,303.44,539
2025-02-18,3119,17,3102,223116,0.056,325.26,521,1370,379,991,3171,0.058,302.91,293,3263,3263,0,3263,0.059,325.26,537
2025-02-19,3115,14,3101,209463,0.061,326.7999,504,1150,268,882,2622,0.0631,323.25,279,3265,3265,0,3265,0.061,326.7999,526
2025-02-20,3118,19,3099,213987,0.0651,247.47,511,1197,325,872,2780,0.064,253.14,278,3267,3267,0,3267,0.066,236.4786,533
2025-02-21,3107,15,3092,207432,0.071,243.08,506,1155,289,866,2643,0.0691,239.62,267,3267,3267,0,3267,0.072,243.08,535
2025-02-24,3132,10,3122,225848,0.0605,214.7824,512,1213,300,913,2746,0.0779,217.89,287,3267,3267,0,3267,0.066,200.2,524
2025-02-25,3106,10,3096,228627,0.0663,175.4363,506,1164,313,851,2677,0.0723,171.49,276,3268,3268,0,3268,0.0663,169.14,528
2025-02-26,3096,11,3085,209107,0.065,168.51,502,1124,272,852,2490,0.061,167.12,264,3270,3270,0,3270,0.065,168.51,524
2025-02-27,3084,16,3068,208144,0.0441,175.72,506,1027,261,766,2303,0.07,170.17,256,3273,3273,0,3273,0.046,175.72,531
2025-02-28,3098,20,3078,213516,0.0361,143.51,504,1053,284,769,2400,0.041,143.0,257,3275,3275,0,3275,0.0361,144.5,521
2025-03-03,3136,15,3121,220187,0.0705,163.22,507,1175,310,865,2678,0.0792,154.0,281,3276,3276,0,3276,0.0705,163.22,535
2025-03-04,3153,25,3128,243464,0.0612,141.11,512,1157,291,866,2585,0.065,143.25,270,3276,3276,0,3276,0.0612,156.05,528
2025-03-05,3124,11,3113,213606,0.062,152.39,494,1011,267,744,2285,0.0621,155.2,228,3277,3277,0,3277,0.0629,162.34,519
2025-03-06,3109,9,3100,211263,0.0631,159.0,490,1066,274,792,2415,0.0631,157.0,247,3278,3278,0,3278,0.0652,155.2799,516
2025-03-07,3134,14,3120,213201,0.0682,138.21,495,907,225,682,2016,0.068,133.3,235,3284,3284,0,3284,0.0682,141.7178,521
2025-03-10,3154,12,3142,221128,0.068,136.3109,493,1147,259,888,2518,0.071,138.2,251,3284,3284,0,3284,0.068,132.74,514
2025-03-11,3123,10,3113,219093,0.0701,124.28,494,1024,260,764,2257,0.0705,120.0,252,3286,3286,0,3286,0.0725,125.47,512
2025-03-12,3128,13,3115,212630,0.0732,136.71,491,945,223,722,2030,0.075,128.83,228,3289,3289,0,3289,0.0732,136.9677,512
2025-03-13,3087,9,3078,202727,0.076,134.65,478,930,218,712,2036,0.075,132.63,223,3292,3292,0,3292,0.0765,134.65,507
2025-03-14,3113,9,3104,207874,0.0611,142.66,482,956,214,742,2070,0.0803,129.07,227,3293,3293,0,3293,0.0758,144.24,504
2025-03-17,3131,12,3119,211110,0.0555,151.57,492,1077,270,807,2403,0.0749,149.88,254,3294,3294,0,3294,0.0555,149.62,511
2025-03-18,3118,12,3106,205680,0.0629,144.45,486,1007,236,771,2250,0.0681,149.0,240,3295,3295,0,3295,0.0629,140.55,512
