date,symbol,observed_bars,expected_bars,missing_bars
2025-01-06,CLOU,1,4,3
2025-01-06,OCC,3,4,1
2025-01-06,INBS,1,4,3
2025-01-06,PUBM,1,4,3
2025-01-06,BHFAL,2,4,2
2025-01-06,KKRS,1,4,3
2025-01-06,OWLT,1,4,3
2025-01-06,POLA,1,4,3
2025-01-06,ASTI,2,4,2
2025-01-06,AMRX,2,4,2
2025-01-06,SIBN,3,4,1
2025-01-06,TVRD,1,4,3
2025-01-06,TARA,2,4,2
2025-01-06,VYGR,2,4,2
2025-01-06,AMPL,2,4,2
2025-01-06,RCS,2,4,2
2025-01-06,RMCO,1,4,3
2025-01-06,UBFO,2,4,2
2025-01-06,BWEN,1,4,3
2025-01-06,NGD,3,4,1
2025-01-06,SSSS,2,4,2
2025-01-06,MNY,2,4,2
2025-01-06,GLL,2,4,2
2025-01-06,WHWK,1,4,3
2025-01-06,LOMA,1,4,3
2025-01-06,PHGE,1,4,3
2025-01-06,KRNT,2,4,2
2025-01-06,TSMY,2,4,2
2025-01-06,DAPP,1,4,3
2025-01-06,WTTR,1,4,3
2025-01-06,CBIO,3,4,1
2025-01-06,METCB,3,4,1
2025-01-06,AMST,1,4,3
2025-01-06,NTWK,1,4,3
2025-01-06,BTE,1,4,3
2025-01-06,NXE,3,4,1
2025-01-06,XWIN,2,4,2
2025-01-06,KD,2,4,2
2025-01-06,PGEN,3,4,1
2025-01-06,PLBY,3,4,1
2025-01-06,BBBY,3,4,1
2025-01-06,RCON,1,4,3
2025-01-06,LEG,3,4,1
2025-01-06,PSA.PRN,1,4,3
2025-01-06,RLAY,3,4,1
2025-01-06,KLTR,3,4,1
2025-01-06,LUCK,2,4,2
2025-01-06,VIR,2,4,2
2025-01-06,UPLD,1,4,3
2025-01-06,SLRC,2,4,2
2025-01-06,BEAT,2,4,2
2025-01-06,FRSH,3,4,1
2025-01-06,MDXG,1,4,3
2025-01-06,JBLU,1,4,3
2025-01-06,TLSA,1,4,3
2025-01-06,BHFAP,3,4,1
2025-01-06,BHR.PRD,2,4,2
2025-01-06,DXC,1,4,3
2025-01-06,BMBL,1,4,3
2025-01-06,VVPR,3,4,1
2025-01-06,IVR,1,4,3
2025-01-06,ALLO,1,4,3
2025-01-06,ENIC,1,4,3
2025-01-06,FBYD,3,4,1
2025-01-06,LNSR,3,4,1
2025-01-06,STIM,2,4,2
2025-01-06,GRFS,2,4,2
2025-01-06,RSVR,2,4,2
2025-01-06,TPVG,1,4,3
2025-01-06,BXMT,1,4,3
2025-01-06,BTAL,1,4,3
2025-01-06,BABO,1,4,3
2025-01-06,SJT,2,4,2
2025-01-06,LAR,2,4,2
2025-01-06,DRIO,1,4,3
2025-01-06,DAO,1,4,3
2025-01-06,BBD,3,4,1
2025-01-06,HUYA,2,4,2
2025-01-06,PBT,1,4,3
2025-01-06,NCNO,3,4,1
2025-01-06,CHMI,2,4,2
2025-01-06,DDL,1,4,3
2025-01-06,SNT,1,4,3
2025-01-06,CRF,1,4,3
2025-01-06,GITS,3,4,1
2025-01-06,IONR,1,4,3
2025-01-06,TWIN,3,4,1
2025-01-06,CMBT,1,4,3
2025-01-06,INGN,1,4,3
2025-01-06,NMZ,1,4,3
2025-01-06,MPT,3,4,1
2025-01-06,WFCF,3,4,1
2025-01-06,MCHB,2,4,2
2025-01-06,PHIO,3,4,1
2025-01-06,ESPR,3,4,1
2025-01-06,FVCB,1,4,3
2025-01-06,KNDI,1,4,3
2025-01-06,CCLD,1,4,3
2025-01-06,AGM.PRF,3,4,1
2025-01-06,ALAR,2,4,2
2025-01-06,SVC,1,4,3
2025-01-06,BLMN,1,4,3
2025-01-06,SFL,1,4,3
2025-01-06,SKYX,1,4,3
2025-01-06,CMRC,1,4,3
2025-01-06,MIGI,2,4,2
2025-01-06,SB,3,4,1
2025-01-06,DHCNL,2,4,2
2025-01-06,GNPX,3,4,1
2025-01-06,HNNA,3,4,1
2025-01-06,VLY,1,4,3
2025-01-06,FARM,1,4,3
2025-01-06,RAIN,1,4,3
2025-01-06,LU,2,4,2
2025-01-06,BOH.PRA,3,4,1
2025-01-06,UUU,1,4,3
2025-01-06,VANI,1,4,3
2025-01-06,NZF,1,4,3
2025-01-06,MGX,3,4,1
2025-01-06,BYRN,2,4,2
2025-01-06,ERY,1,4,3
2025-01-06,BRRR,2,4,2
2025-01-06,MSOX,1,4,3
2025-01-06,NVNO,1,4,3
2025-01-06,LNZA,2,4,2
2025-01-06,AOMR,1,4,3
2025-01-06,BAK,2,4,2
2025-01-06,MGRB,1,4,3
2025-01-06,MTLS,1,4,3
2025-01-06,INTJ,1,4,3
2025-01-06,GP,1,4,3
2025-01-06,TUYA,2,4,2
2025-01-06,FSK,1,4,3
2025-01-06,TALK,1,4,3
2025-01-06,AEF,1,4,3
2025-01-06,GAIN,1,4,3
2025-01-06,CTMX,1,4,3
2025-01-06,WBTN,1,4,3
2025-01-06,DUOT,1,4,3
2025-01-06,TV,1,4,3
2025-01-06,NVNI,3,4,1
2025-01-06,SXC,2,4,2
2025-01-06,ATHE,1,4,3
2025-01-06,CSAN,1,4,3
2025-01-06,UIS,1,4,3
2025-01-06,IPDN,3,4,1
2025-01-06,ESOA,1,4,3
2025-01-06,SMPL,1,4,3
2025-01-06,DOC,1,4,3
2025-01-06,GOOS,2,4,2
2025-01-06,NODK,1,4,3
2025-01-06,PBI,2,4,2
2025-01-06,GURE,1,4,3
2025-01-06,GRDX,1,4,3
2025-01-06,MRM,3,4,1
2025-01-06,HIT,3,4,1
2025-01-06,DGXX,2,4,2
2025-01-06,ZDGE,2,4,2
2025-01-06,HIBS,1,4,3
2025-01-06,OGI,1,4,3
2025-01-06,ATEN,1,4,3
2025-01-06,BITQ,2,4,2
2025-01-06,SSYS,1,4,3
2025-01-06,CSBR,2,4,2
2025-01-06,PLUR,1,4,3
2025-01-06,QFIN,1,4,3
2025-01-06,EHTH,1,4,3
2025-01-06,HQH,1,4,3
2025-01-06,PHR,1,4,3
2025-01-06,IGR,1,4,3
2025-01-06,CFR.PRB,1,4,3
2025-01-06,LGCB,2,4,2
2025-01-06,MXL,1,4,3
2025-01-06,MNDO,1,4,3
2025-01-06,BNED,1,4,3
2025-01-06,DSX,1,4,3
2025-01-06,FNGR,1,4,3
2025-01-06,RMBI,2,4,2
2025-01-06,FSCO,1,4,3
2025-01-06,MLTX,2,4,2
2025-01-06,HPQ,2,4,2
2025-01-06,ACR,3,4,1
2025-01-06,MGIH,3,4,1
2025-01-06,HAYW,1,4,3
2025-01-06,STWD,2,4,2
2025-01-06,UAMY,3,4,1
2025-01-06,PERI,2,4,2
2025-01-06,ASIX,1,4,3
2025-01-06,GT,2,4,2
2025-01-06,AQN,2,4,2
2025-01-06,LAND,1,4,3
2025-01-06,AWRE,3,4,1
2025-01-06,MHH,3,4,1
2025-01-06,MPAA,3,4,1
2025-01-06,GROY,1,4,3
2025-01-06,DNLI,1,4,3
2025-01-06,SPIR,3,4,1
2025-01-06,SOS,1,4,3
2025-01-06,DIAX,1,4,3
2025-01-06,FCEL,3,4,1
2025-01-06,AIFU,2,4,2
2025-01-06,WB,2,4,2
2025-01-06,NTIP,1,4,3
2025-01-06,UBXG,1,4,3
2025-01-06,BEKE,3,4,1
2025-01-06,CMTL,1,4,3
2025-01-06,ARTL,1,4,3
2025-01-06,FBIO,3,4,1
2025-01-06,BOXL,3,4,1
2025-01-06,BTF,2,4,2
2025-01-06,MCRB,3,4,1
2025-01-06,EVH,3,4,1
2025-01-06,CRESY,2,4,2
2025-01-06,RELY,1,4,3
2025-01-06,EFXT,1,4,3
2025-01-06,HYT,2,4,2
2025-01-06,ACRE,1,4,3
2025-01-06,UNIT,2,4,2
2025-01-06,GPRK,1,4,3
2025-01-06,MTA,1,4,3
2025-01-06,OWL,2,4,2
2025-01-06,CANF,2,4,2
2025-01-06,BALY,1,4,3
2025-01-06,OLPX,1,4,3
2025-01-06,SGMT,2,4,2
2025-01-06,MX,1,4,3
2025-01-06,QTTB,3,4,1
2025-01-06,CTNM,3,4,1
2025-01-06,LPTH,3,4,1
2025-01-06,SQNS,2,4,2
2025-01-06,CRON,1,4,3
2025-01-06,CBAT,2,4,2
2025-01-06,CRT,1,4,3
2025-01-06,SMHB,1,4,3
2025-01-06,SDST,2,4,2
2025-01-06,IPW,1,4,3
2025-01-06,NTRP,1,4,3
2025-01-06,ACI,1,4,3
2025-01-06,FVRR,3,4,1
2025-01-06,UDN,1,4,3
2025-01-06,NOMD,3,4,1
2025-01-06,ADMA,1,4,3
2025-01-06,BAC.PRQ,2,4,2
2025-01-06,UCL,3,4,1
2025-01-06,UPWK,3,4,1
2025-01-06,KPLT,1,4,3
2025-01-06,BEPI,3,4,1
2025-01-06,RDZN,3,4,1
2025-01-06,FMC,2,4,2
2025-01-06,ALGS,1,4,3
2025-01-06,TEO,2,4,2
2025-01-06,SXTP,1,4,3
2025-01-06,OKUR,1,4,3
2025-01-06,PCSA,2,4,2
2025-01-06,ACIU,1,4,3
2025-01-06,PMN,3,4,1
2025-01-06,NFLY,3,4,1
2025-01-06,GHY,1,4,3
2025-01-06,WOOF,2,4,2
2025-01-06,PROK,1,4,3
2025-01-06,CGNT,1,4,3
2025-01-06,TYGO,1,4,3
2025-01-06,TAL,3,4,1
2025-01-06,ARVN,1,4,3
2025-01-06,JPC,1,4,3
2025-01-06,NEOV,1,4,3
2025-01-06,DFLI,1,4,3
2025-01-06,PGX,3,4,1
2025-01-06,MKZR,2,4,2
2025-01-06,QVCD,1,4,3
2025-01-06,NEWP,1,4,3
2025-01-06,OPRA,1,4,3
2025-01-06,TWFG,1,4,3
2025-01-06,UGP,1,4,3
2025-01-06,AENT,1,4,3
2025-01-06,TAOP,3,4,1
2025-01-06,GSIT,1,4,3
2025-01-06,AQMS,2,4,2
2025-01-06,NIKL,1,4,3
2025-01-06,GRWG,1,4,3
2025-01-06,SPAI,3,4,1
2025-01-06,RETL,2,4,2
2025-01-06,DNUT,1,4,3
2025-01-06,GLDD,3,4,1
2025-01-06,ACB,2,4,2
2025-01-06,VHI,2,4,2
2025-01-06,FUFU,1,4,3
2025-01-06,VFF,3,4,1
2025-01-06,CCCC,2,4,2
2025-01-06,GOSS,2,4,2
2025-01-06,APLE,1,4,3
2025-01-06,CAG,1,4,3
2025-01-06,CDZI,1,4,3
2025-01-06,RBKB,1,4,3
2025-01-06,FXP,1,4,3
2025-01-06,SQFT,1,4,3
2025-01-06,FDSB,2,4,2
2025-01-06,GRND,2,4,2
2025-01-06,COTY,2,4,2
2025-01-06,VRRM,2,4,2
2025-01-06,SPOK,1,4,3
2025-01-06,DOGZ,1,4,3
2025-01-06,SRAD,3,4,1
2025-01-06,NFE,3,4,1
2025-01-06,INFY,2,4,2
2025-01-06,DCTH,2,4,2
2025-01-06,HOUR,2,4,2
2025-01-06,BEEM,1,4,3
2025-01-06,WPP,3,4,1
2025-01-06,ETON,3,4,1
2025-01-06,ZNTL,1,4,3
2025-01-06,TBCH,3,4,1
2025-01-06,ATGL,1,4,3
2025-01-06,OCUL,1,4,3
2025-01-06,ANGO,1,4,3
2025-01-06,XFOR,3,4,1
2025-01-06,BAFN,3,4,1
2025-01-06,WDS,2,4,2
2025-01-06,HQL,1,4,3
