date,minute_symbols,hour_symbols,daily_symbols,minute_not_in_hour,minute_not_in_daily,hour_not_in_minute,hour_not_in_daily,daily_not_in_minute,daily_not_in_hour,minute_not_in_hour_sample,hour_not_in_minute_sample,daily_not_in_minute_sample
2024-12-02,368,0,0,368,368,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-03,371,0,0,371,371,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-04,370,0,0,370,370,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-05,369,0,0,369,369,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-06,370,0,0,370,370,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-09,371,0,0,371,371,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-10,370,0,0,370,370,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-11,371,0,0,371,371,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-12,370,0,0,370,370,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,AFYA",,
2024-12-13,372,0,0,372,372,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-16,375,0,0,375,375,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-17,373,0,0,373,373,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-18,378,0,0,378,378,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-19,376,0,0,376,376,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-20,376,0,0,376,376,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-23,379,0,0,379,379,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-24,374,0,0,374,374,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,AFYA",,
2024-12-25,0,0,0,0,0,0,0,0,0,,,
2024-12-26,375,0,0,375,375,0,0,0,0,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,
2024-12-27,378,0,1957,378,70,0,0,1649,1957,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,"AAME,ABAT,ABCL,ABEO,ABEV,ABOS,ABR,ABTC,ABTS,ABUS"
2024-12-30,380,0,3208,380,0,0,0,2828,3208,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,"AAL,AAME,AAPD,AAT,ABAT,ABCL,ABEO,ABEV,ABOS,ABR"
2024-12-31,380,0,3209,380,0,0,0,2829,3209,"ABSI,ACB,ACDC,ACH,ACOG,ACON,ACRV,ADEA,ADTN,ADXN",,"AAL,AAME,AAPD,AAT,ABAT,ABCL,ABEO,ABEV,ABOS,ABR"
2025-01-02,239,0,3213,239,1,0,0,2975,3213,"AAL,AAME,AAPD,AAT,ABAT,ABCL,ABEO,ABEV,ABOS,ABR",,"ACTU,AFRI,AHT.PRD,AHT.PRG,AHT.PRH,AIRTP,ALCYU,ALFUU,ALIT,AMAX"
2025-01-03,9,0,3214,9,0,0,0,3205,3214,"ASPC,CRNC,HTLM,NUS,ONDS,RGP,RILYL,SATL,SPCB",,"AAL,AAME,AAPD,AAT,ABAT,ABCL,ABEO,ABEV,ABOS,ABR"
2025-01-06,3079,1416,3214,1663,47,0,22,182,1820,"AAME,AAT,ABEO,ABOS,ABR.PRD,ABR.PRE,ABX,ACCS,ACDC,ACEL",,"ADIV,AHT.PRF,AHT.PRG,AHT.PRH,AIRTP,ALCY,ALCYU,ALIT,ANSCU,ARMN"
2025-01-07,3081,1160,3215,1921,46,0,16,180,2071,"AAME,AAT,ABEO,ABOS,ABR.PRD,ABR.PRE,ABUS,ABVE,ABX,ACCO",,"ADAMZ,ADIV,AHT.PRF,AHT.PRG,AHT.PRH,AHT.PRI,AIRTP,ALCY,ALCYU,ALDF"
2025-01-08,3045,1267,3215,1778,47,0,26,217,1974,"AAME,ABOS,ABR.PRD,ABUS,ABVE,ABX,ACB,ACCO,ACCS,ACEL",,"AHT.PRH,AIRTP,ALCY,ALCYU,ALDF,ALFUU,ALIT,ANSCU,ARMN,ASBP"
2025-01-09,0,0,0,0,0,0,0,0,0,,,
2025-01-10,3088,1283,3215,1806,47,1,20,174,1952,"AAME,AAT,ABEO,ABR.PRD,ABUS,ABX,ACB,ACCO,ACCS,ACEL",MGYR,"AIRTP,ALCYU,ALDF,ALDFU,ALFUU,ALIT,AMCI,ANSCU,ARMN,ASBP"
2025-01-13,3065,1364,3217,1701,46,0,25,198,1878,"AAME,ABEO,ABR.PRD,ABR.PRE,ABUS,ABVC,ABX,ACCS,ACGLN,ACH",,"AHT.PRD,AHT.PRF,AHT.PRI,AIRTP,ALCY,ALCYU,ALDF,ALDFU,ALFUU,ALIT"
2025-01-14,3070,1048,3221,2023,47,1,19,198,2192,"AAT,ABEO,ABR.PRD,ABR.PRE,ABUS,ABX,ACCO,ACDC,ACEL,ACH",REKT,"AAME,ADIV,AHT.PRF,AHT.PRH,AIRTP,ALCY,ALCYU,ALDF,ALFUU,ALIT"
2025-01-15,3067,1050,3223,2017,47,0,20,203,2193,"AAME,AAT,ABEO,ABR.PRD,ABR.PRE,ABUS,ABX,ACB,ACCO,ACCS",,"ADIV,AIRTP,ALCY,ALCYU,ALDF,ALF,ALFUU,ALIT,AMCI,ANSCU"
2025-01-16,3068,1074,3226,1995,47,1,22,205,2174,"AAME,ABCL,ABEO,ABOS,ABUS,ABVC,ABVE,ABX,ACB,ACDC",ADXN,"ACCS,ADIV,ADXN,AHT.PRD,AHT.PRF,AHT.PRH,AIRTP,ALCY,ALCYU,ALFUU"
