symbol,event_time_et,event_time_utc,event_type,open,close,pct_move_1m,pct_move_3m,rel_vol_30d,prev_close,price_929,day_gain_pct_929plus,day_gain_pct_event,float_shares,float_lt_20m,pillar_day_gain_10pct,pillar_rel_vol_5x,pillar_score,news_has_catalyst,news_article_count,news_specific_count
AMBO,2025-10-10T09:30:00-04:00,2025-10-10T13:30:00+00:00,gap_3m_3pct,5.29,5.52,4.347826086956519,5.950095969289815,0.2772167770727691,5.75,5.28,-8.173913043478255,-4.0000000000000036,5240000,True,False,False,1,,,
LDI,2025-10-10T09:30:00-04:00,2025-10-10T13:30:00+00:00,gap_3m_3pct,3.09,3.17,2.5889967637540368,4.966887417218535,0.34204202961630653,3.01,3.07,1.9933554817275656,5.315614617940212,333240000,False,False,False,0,,,
QNRX,2025-10-10T09:30:00-04:00,2025-10-10T13:30:00+00:00,gap_1m_10pct,12.05,14.28,18.50622406639002,16.09756097560975,9.77505481030062,8.16,12.1,48.28431372549018,75.0,56570000,False,True,True,2,,,
SWKH,2025-10-10T09:30:00-04:00,2025-10-10T13:30:00+00:00,gap_3m_3pct,16.35,16.87,3.1804281345565677,3.243574051407605,457.78898473788985,14.4,16.39,13.81944444444445,17.15277777777777,12100000,True,True,True,3,,,
BITF,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,4.545,4.5701,0.5522552255225577,4.340182648401836,1.5083666944870828,4.17,4.38,5.035971223021574,9.594724220623508,601580000,False,False,False,0,,,
CHA,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,16.605,17.06,2.740138512496215,3.2687651331719136,3.320413295220876,16.26,16.54,1.7220172201721784,4.920049200491983,183550000,False,False,False,0,,,
CRWG,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,15.3285,15.75,2.749779821900389,4.097818902842021,1.2122835620966455,14.57,15.13,3.8435140700068704,8.098833218943025,,,False,False,0,,,
DRCT,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,0.3374,0.3368,-0.1778304682868992,5.217119650109336,6.561887823780267,0.3555,0.3201,-9.95780590717299,-5.260196905766524,1440000,True,False,True,2,,,
HYAC.WS,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_1m_10pct,0.75,0.8603,14.706666666666667,,,0.59,0.8603,45.8135593220339,45.8135593220339,,,True,False,1,,,
KIDS,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,16.42,16.58,0.9744214372715998,3.9498432601880795,7.882806405726609,17.95,15.95,-11.142061281337046,-7.632311977715888,25080000,False,False,True,1,,,
LDI,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,3.1501,3.28,4.123678613377346,6.84039087947883,0.5122171097633912,3.01,3.07,1.9933554817275656,8.97009966777409,333240000,False,False,False,0,,,
LIDR,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,3.47,3.57,2.881844380403442,3.188137699800553,1.508746733454939,3.33,3.4597,3.894894894894896,7.2072072072072,45050000,False,False,False,0,,,
NVTS,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,8.1199,8.3436,2.7549600364536575,4.295000000000004,1.7342405473194722,8.0,8.0,0.0,4.295000000000004,230500000,False,False,False,0,,,
OUST,2025-10-10T09:31:00-04:00,2025-10-10T13:31:00+00:00,gap_3m_3pct,30.665,31.14,1.5489972281102382,3.3521407235313605,0.35768413756695466,30.85,30.5908,-0.8401944894651514,0.9400324149108519,60010000,False,False,False,0,,,
