symbol,gaprun_count
HYPD,144
HCTI,108
TRON,105
HSDT,101
VOR,98
NCNA,92
RBNE,92
AGIG,91
MFI,86
DFSC,71
RVYL,71
SONM,70
CYN,65
DFDV,62
INTS,60
XTIA,59
NUWE,56
CLRB,55
PCSA,54
NA,53
LCFY,52
WBUY,52
HIND,51
APVO,50
CURR,50
SBET,49
HIMZ,48
BNAI,47
ARTL,44
BRN,44
CTOR,44
FEED,43
UNCY,43
ZENA,43
LYRA,42
ASTI,41
BLNE,41
CREG,41
ARAI,40
JZXN,40
MAAS,40
SST,40
TGE,40
VTAK,40
CMBM,39
GCTK,37
GVH,37
ICU,37
INDP,37
CGTL,36
IPW,36
JFBR,35
DFLI,34
SRFM,34
HOVR,33
LGHL,33
DPRO,32
GALT,32
TNMG,32
WOLF,32
ZBAI,32
BATL,31
HYFT,31
LSE,31
NAMM,31
AIRO,30
BGMS,30
BIAF,30
DWSN,30
LVWR,30
MBRX,30
AIHS,28
CRML,28
HYPR,28
INDO,28
KZIA,28
LUCY,28
LZMH,28
NBP,28
QCLS,28
STEX,28
USEG,28
ACXP,27
BNKK,27
GIBO,27
MARPS,26
SSII,26
WHLR,26
KULR,25
LGCL,25
MXC,25
TLYS,25
ADIL,24
ASBP,24
FIEE,24
RYET,24
SXTC,24
TAOX,24
MNTS,23
MNY,23
