month,rows_scanned,top_by_max_count,top_by_count_count,top_by_max_path,top_by_count_path
2024-12,752239,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2024-12.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2024-12.csv
2025-01,3970579,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-01.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-01.csv
2025-02,3874371,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-02.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-02.csv
2025-03,4416320,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-03.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-03.csv
2025-04,4535112,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-04.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-04.csv
2025-05,4518148,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-05.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-05.csv
2025-06,4539930,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-06.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-06.csv
2025-07,5184288,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-07.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-07.csv
2025-08,4898596,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-08.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-08.csv
2025-09,5122985,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-09.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-09.csv
2025-10,5863680,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-10.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-10.csv
2025-11,4883555,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-11.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-11.csv
2025-12,5755006,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2025-12.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2025-12.csv
2026-01,5560526,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2026-01.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2026-01.csv
2026-02,4981362,100,100,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_max_gain_2026-02.csv,database/audit_reports/monthly_gaprun_lists\top_100_gaprun_symbols_by_count_2026-02.csv
