pre_range_pct_4_8,last5_range_pct,pre_trade_count,avg_candidates_per_day,avg_recall_top5_pct
1.0,0.5,10.0,70.7,59.00000000000001
1.0,1.0,10.0,64.55,59.00000000000001
2.0,0.5,10.0,59.9,58.00000000000001
2.0,1.0,10.0,55.2,58.00000000000001
3.0,0.5,10.0,49.35,57.00000000000001
3.0,1.0,10.0,45.6,57.00000000000001
4.0,0.5,10.0,41.05,57.00000000000001
4.0,1.0,10.0,38.2,57.00000000000001
1.0,1.5,10.0,57.8,55.99999999999999
1.0,2.0,10.0,48.35,55.99999999999999
2.0,1.5,10.0,49.7,55.00000000000001
2.0,2.0,10.0,42.6,55.00000000000001
5.0,0.5,10.0,34.05,54.0
5.0,1.0,10.0,31.8,54.0
3.0,1.5,10.0,41.3,53.99999999999999
1.0,0.5,25.0,37.9,53.99999999999999
3.0,2.0,10.0,35.6,53.99999999999999
4.0,1.5,10.0,34.65,53.99999999999999
1.0,1.0,25.0,34.0,53.99999999999999
4.0,2.0,10.0,29.95,53.99999999999999
2.0,0.5,25.0,33.6,53.0
2.0,1.0,25.0,30.55,53.0
3.0,0.5,25.0,28.0,52.0
3.0,1.0,25.0,25.5,52.0
4.0,0.5,25.0,23.95,52.0
4.0,1.0,25.0,22.0,52.0
1.0,1.5,25.0,30.1,51.0
5.0,1.5,10.0,29.15,51.0
1.0,2.0,25.0,25.45,51.0
5.0,2.0,10.0,25.25,51.0
2.0,1.5,25.0,27.3,50.0
2.0,2.0,25.0,23.6,50.0
3.0,1.5,25.0,23.05,49.00000000000001
3.0,2.0,25.0,20.1,49.00000000000001
5.0,0.5,25.0,20.05,49.00000000000001
4.0,1.5,25.0,20.0,49.00000000000001
5.0,1.0,25.0,18.6,49.00000000000001
4.0,2.0,25.0,17.5,49.00000000000001
1.0,3.0,10.0,33.0,48.0
2.0,3.0,10.0,29.3,47.0
3.0,3.0,10.0,25.45,46.0
4.0,3.0,10.0,21.5,46.0
5.0,1.5,25.0,17.15,46.0
5.0,2.0,25.0,15.15,46.0
1.0,0.5,50.0,20.75,44.99999999999999
1.0,1.0,50.0,18.65,44.99999999999999
1.0,3.0,25.0,17.2,44.00000000000001
2.0,0.5,50.0,18.7,43.99999999999999
2.0,1.0,50.0,17.0,43.99999999999999
1.0,1.5,50.0,16.8,43.99999999999999
1.0,2.0,50.0,14.25,43.99999999999999
2.0,3.0,25.0,16.2,43.00000000000001
5.0,3.0,10.0,18.1,43.0
3.0,0.5,50.0,16.15,43.0
3.0,1.0,50.0,14.75,43.0
4.0,0.5,50.0,13.85,43.0
4.0,1.0,50.0,12.65,43.0
1.0,0.5,100.0,10.35,43.0
1.0,1.0,100.0,9.65,43.0
2.0,1.5,50.0,15.6,42.999999999999986
2.0,2.0,50.0,13.55,42.999999999999986
3.0,3.0,25.0,14.15,42.00000000000001
4.0,3.0,25.0,12.45,42.00000000000001
3.0,1.5,50.0,13.65,41.99999999999999
3.0,2.0,50.0,12.0,41.99999999999999
4.0,1.5,50.0,11.85,41.99999999999999
4.0,2.0,50.0,10.5,41.99999999999999
2.0,0.5,100.0,9.5,41.99999999999999
1.0,1.5,100.0,9.1,41.99999999999999
2.0,1.0,100.0,9.0,41.99999999999999
1.0,2.0,100.0,8.1,41.99999999999999
2.0,1.5,100.0,8.5,41.0
3.0,0.5,100.0,8.15,41.0
2.0,2.0,100.0,7.8,41.0
3.0,1.0,100.0,7.8,41.0
4.0,0.5,100.0,7.55,41.0
4.0,1.0,100.0,7.25,41.0
5.0,0.5,50.0,12.05,40.0
5.0,1.0,50.0,11.2,40.0
3.0,1.5,100.0,7.45,40.0
3.0,2.0,100.0,6.95,40.0
4.0,1.5,100.0,6.9,40.0
4.0,2.0,100.0,6.4,40.0
5.0,3.0,25.0,10.8,39.00000000000001
5.0,1.5,50.0,10.55,39.0
5.0,2.0,50.0,9.4,39.0
5.0,0.5,100.0,6.9,38.0
5.0,1.0,100.0,6.65,38.0
1.0,3.0,50.0,9.2,37.00000000000001
5.0,1.5,100.0,6.3,37.0
5.0,2.0,100.0,5.9,37.0
2.0,3.0,50.0,8.95,36.00000000000001
3.0,3.0,50.0,8.15,35.0
4.0,3.0,50.0,7.35,35.0
1.0,3.0,100.0,5.35,35.0
1.0,0.5,200.0,5.2,35.0
1.0,1.0,200.0,5.1,35.0
1.0,1.5,200.0,4.85,35.0
1.0,2.0,200.0,4.55,35.0
2.0,3.0,100.0,5.25,34.0
2.0,0.5,200.0,5.0,34.0
2.0,1.0,200.0,4.9,34.0
2.0,1.5,200.0,4.65,34.0
2.0,2.0,200.0,4.45,34.0
3.0,3.0,100.0,4.8,33.00000000000001
4.0,3.0,100.0,4.45,33.00000000000001
3.0,0.5,200.0,4.6,33.0
3.0,1.0,200.0,4.5,33.0
4.0,0.5,200.0,4.4,33.0
3.0,1.5,200.0,4.35,33.0
4.0,1.0,200.0,4.35,33.0
3.0,2.0,200.0,4.2,33.0
4.0,1.5,200.0,4.2,33.0
4.0,2.0,200.0,4.05,33.0
5.0,3.0,50.0,6.6,32.00000000000001
5.0,0.5,200.0,4.2,30.000000000000004
5.0,1.0,200.0,4.15,30.000000000000004
5.0,3.0,100.0,4.05,30.000000000000004
5.0,1.5,200.0,4.0,30.000000000000004
5.0,2.0,200.0,3.85,30.000000000000004
1.0,3.0,200.0,3.25,30.000000000000004
2.0,3.0,200.0,3.2,29.00000000000001
3.0,3.0,200.0,3.05,28.000000000000007
4.0,3.0,200.0,3.0,28.000000000000007
5.0,3.0,200.0,2.8,25.000000000000007
