symbol,gaprun_count
BNAI,194
SEGG,138
EVTV,137
MTEN,121
SLGB,119
SXTP,113
FEED,112
NAMM,111
ROLR,107
SPHL,105
IVF,105
IOTR,100
DRCT,97
SXTC,94
BATL,83
LRHC,82
MOVE,82
CISS,80
JFBR,80
GITS,77
BOXL,73
AUID,71
CGTL,71
CJMB,70
AHMA,68
ICON,62
LNKS,60
KUST,59
ASTI,53
XAIR,52
ASBP,51
BTTC,49
NUWE,49
TWG,48
INBS,46
MBAI,46
XHLD,45
SIDU,44
CNEY,44
MLEC,43
BIYA,43
HCTI,43
ACCL,42
OKLS,42
POLA,42
GOAI,41
BGL,41
MNTS,41
PAVM,39
DCX,38
NUAI,38
AUST,37
ORKT,36
IBRX,36
FLYX,35
CRVS,35
VRME,35
UFG,35
GORO,35
OPTX,34
ROMA,32
RDW,32
OKLL,31
REVB,31
CMCT,31
TNMG,31
NVVE,31
VIVS,31
GCTS,30
ATPC,29
PRFX,29
AGPU,29
PHGE,29
CRWG,28
LCFY,28
GIBO,26
MVO,26
LHAI,26
IRE,26
ANPA,26
BNKK,26
AGIG,25
PMN,25
LVLU,25
BCTX,24
RIME,24
ELAB,24
VELO,24
SVACW,23
LYRA,23
HCHL,23
RKLZ,23
ZSTK,22
GP,22
EDBL,22
SER,22
PDYN,22
CRML,22
GRI,21
PBM,21
