day_gain_threshold,rel_vol_threshold,pass_rate_all_gappers_pct,pass_rate_day_gain_pct,pass_rate_rel_vol_pct,pass_rate_float_pct,avg_daily_pass_rate_pct
2.0,1.5,41.0,67.0,65.0,78.0,41.0
2.0,2.0,40.0,67.0,63.0,78.0,40.0
3.0,1.5,40.0,65.0,65.0,78.0,40.0
5.0,1.5,40.0,63.0,65.0,78.0,40.0
3.0,2.0,39.0,65.0,63.0,78.0,39.0
5.0,2.0,39.0,63.0,63.0,78.0,39.0
7.0,1.5,39.0,62.0,65.0,78.0,39.0
7.0,2.0,38.0,62.0,63.0,78.0,38.0
10.0,1.5,38.0,60.0,65.0,78.0,38.0
2.0,3.0,37.0,67.0,60.0,78.0,37.0
10.0,2.0,37.0,60.0,63.0,78.0,37.0
3.0,3.0,36.0,65.0,60.0,78.0,36.00000000000001
5.0,3.0,36.0,63.0,60.0,78.0,36.00000000000001
7.0,3.0,35.0,62.0,60.0,78.0,35.0
10.0,3.0,34.0,60.0,60.0,78.0,34.0
2.0,5.0,32.0,67.0,55.00000000000001,78.0,31.999999999999996
3.0,5.0,31.0,65.0,55.00000000000001,78.0,31.0
5.0,5.0,31.0,63.0,55.00000000000001,78.0,31.0
7.0,5.0,30.0,62.0,55.00000000000001,78.0,30.000000000000004
10.0,5.0,28.999999999999996,60.0,55.00000000000001,78.0,29.000000000000004
