day_gain_threshold,rel_vol_threshold,avg_candidates_per_day,avg_recall_top5_pct
2.0,1.5,5.894736842105263,6.0
2.0,2.0,4.2631578947368425,6.0
3.0,1.5,3.8947368421052633,6.0
2.0,3.0,3.0588235294117645,6.0
3.0,2.0,3.0588235294117645,6.0
3.0,3.0,2.4,6.0
2.0,5.0,2.2,6.0
5.0,1.5,1.9411764705882353,6.0
3.0,5.0,1.9230769230769231,6.0
7.0,1.5,1.9166666666666667,6.0
5.0,2.0,1.7692307692307692,6.0
10.0,1.5,1.75,6.0
7.0,2.0,1.7272727272727273,6.0
5.0,3.0,1.6666666666666667,6.0
10.0,2.0,1.625,6.0
10.0,3.0,1.625,6.0
7.0,3.0,1.6,6.0
7.0,5.0,1.5,6.0
5.0,5.0,1.4545454545454546,6.0
10.0,5.0,1.4285714285714286,6.0
