run_id,trial_number,total_pnl,total_trades,winners,losers,win_rate,profit_factor,max_drawdown,days_traded,objective,avg_pnl_per_trade,avg_win,avg_loss,win_loss_ratio,avg_hold_minutes,avg_position_value,trades_per_month,months_profitable,months_total,monthly_consistency_pct,worst_month_pnl,best_month_pnl,max_consecutive_losses,patterns_used,n_patterns,exits_trailing_stop,exits_stop_hit,exits_time_decay,exits_target,exits_ema_cross,exits_selling_pressure,param_a_enable_buying_volume,param_a_enable_float_filter,param_a_enable_last_1min_volume,param_a_enable_last_5min_volume,param_a_enable_market_cap_filter,param_a_enable_premarket_gain,param_a_enable_price_range,param_a_enable_relative_volume,param_a_enable_spread_filter,param_a_max_float,param_a_max_market_cap,param_a_max_price,param_a_max_spread,param_a_min_buying_volume,param_a_min_last_1min_volume,param_a_min_last_5min_volume,param_a_min_premarket_gain,param_a_min_price,param_a_min_relative_volume,param_account_size,param_b_abcd_d_light_vol,param_b_abcd_min_pullback_pct,param_b_bull_flag_breakout_vol_min,param_b_bull_flag_light_vol,param_b_bull_flag_pole_vol_min,param_b_dip_buy_light_vol,param_b_enable_abcd,param_b_enable_bull_flag,param_b_enable_dip_buy,param_b_enable_ema9,param_b_enable_flat_top,param_b_enable_macd,param_b_enable_micro_pullback,param_b_enable_rr,param_b_enable_trend,param_b_flat_top_resistance_tol,param_b_flat_top_vol_increase_tol,param_b_micro_pb_green_pct,param_b_micro_pb_light_vol,param_b_micro_pb_swing_tol,param_b_min_rr_ratio,param_b_stop_buffer,param_c_early_time_decay_hour,param_c_early_time_decay_min_gain_pct,param_c_early_time_decay_minute,param_c_ema_cross_qty_pct,param_c_enable_macd_flip_exit,param_c_enable_resistance_exit,param_c_enable_volume_dry_up_exit,param_c_macd_flip_qty_pct,param_c_resistance_exit_qty_pct,param_c_resistance_tolerance,param_c_resistance_touch_threshold,param_c_selling_pressure_qty_pct,param_c_selling_pressure_ratio,param_c_target1_qty_pct,param_c_target1_ratio,param_c_target2_qty_pct,param_c_target2_ratio,param_c_time_decay_hour,param_c_trailing_stop_distance,param_c_volume_dry_up_qty_pct,param_c_volume_dry_up_threshold,param_max_position_pct,param_risk_pct
optuna_00198,198,1822.87,101,73,28,72.28,2.21,292.1,270,1822.87,18.05,45.69,-54.01,0.85,24.2,816.0,7.8,12,13,92.3,-1.52,401.99,3,ABCD,1,57,28,13,0,2,1,False,False,True,True,True,False,True,False,False,20000000,600000000,24.738960226471125,0.15,50000,10000,100000,10.0,1.5387210448640813,5.0,5000.0,0.7437738918154013,0.11575934778813757,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9872705047395185,0.03292356536986113,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.44074072720458396,2.930147130877497,0.2670424594914499,1.1403117023288978,0.18486019485349545,4.783413744678596,11,0.15474439674221346,0.5,0.6,20.0,2.0
optuna_00204,204,1750.13,95,70,25,73.68,2.2,197.8,270,1750.13,18.42,45.91,-58.53,0.78,23.1,835.0,7.3,12,13,92.3,-28.99,429.71,2,ABCD,1,55,26,13,0,1,0,False,False,True,True,True,False,True,False,False,20000000,600000000,24.46218156842239,0.15,50000,10000,100000,10.0,1.913728964465305,5.0,5000.0,0.7454359262369389,0.11338154957881968,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9847985615858745,0.0452099001008154,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.3719932428603795,3.1681388441796496,0.2587647788834461,1.1697055179362355,0.1928129354836443,4.919878243823556,11,0.15662086841581874,0.5,0.6,20.0,2.0
optuna_00203,203,1730.8,109,78,31,71.56,1.97,202.05,270,1730.8,15.88,45.15,-57.78,0.78,24.7,837.0,8.4,13,13,100.0,11.62,395.63,5,ABCD,1,62,31,14,0,2,0,False,False,True,True,True,False,True,False,False,20000000,600000000,24.346301066136085,0.15,50000,10000,100000,10.0,1.493308674735656,5.0,5000.0,0.7458996602506303,0.11110389136687861,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9799363556919285,0.031836341635765195,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.3683404614765238,3.1750947499210036,0.2557721635132555,1.0630062808699985,0.18914828256030394,4.933408314099486,11,0.1593050681851974,0.5,0.6,20.0,2.0
optuna_00223,223,1565.44,89,63,26,70.79,2.19,231.46,270,1565.44,17.59,45.64,-50.39,0.91,23.4,804.0,6.8,11,13,84.6,-141.68,394.33,4,ABCD,1,52,23,12,0,2,0,False,False,True,True,True,False,True,False,False,20000000,500000000,24.00372799886442,0.15,50000,10000,100000,10.0,1.5303954633763064,5.0,5000.0,0.7361844273746716,0.1233059827581392,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9555153885173364,0.04440829859294932,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.40091265411315,2.9949366762275242,0.2670700618535411,1.0280648673299326,0.20112818804009808,4.934522292857342,11,0.15583288214373042,0.5,0.6,20.0,2.0
optuna_00225,225,1553.27,130,94,36,72.31,1.74,290.24,270,1553.27,11.95,38.92,-58.48,0.67,24.5,859.0,10.0,9,13,69.2,-149.22,397.0,3,ABCD,1,72,34,19,0,5,0,False,False,True,True,True,False,True,False,False,20000000,500000000,24.2615123082962,0.15,50000,10000,100000,10.0,1.5799407432412398,5.0,5000.0,0.7134596001567177,0.09357177761569875,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9491763933752557,0.03568897607927816,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.4148010061870392,2.9879640989420464,0.24706548298986603,1.0111536365878924,0.1764707763174345,4.884826480042949,11,0.14287730286397216,0.5,0.6,20.0,2.0
optuna_00189,189,1548.34,106,76,30,71.7,1.9,291.77,270,1548.34,14.61,43.04,-57.42,0.75,23.6,820.0,8.2,12,13,92.3,-55.67,417.94,3,ABCD,1,63,26,15,0,2,0,False,False,True,True,True,False,True,False,False,20000000,600000000,24.843360742483867,0.15,50000,10000,100000,10.0,1.5343340668611214,5.0,5000.0,0.7378368812496237,0.10891025295144066,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.879081984891767,0.046133873036844,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.398737122472852,2.8554836220009596,0.21506203680392877,1.017542976581632,0.23005745147163684,4.902489213315171,11,0.14179650378074302,0.5,0.6,20.0,2.0
optuna_00231,231,1530.4,145,104,41,71.72,1.62,405.13,270,1530.4,10.55,38.28,-59.78,0.64,25.0,856.0,11.2,9,13,69.2,-170.57,427.03,3,ABCD,1,79,37,23,2,4,0,False,False,True,True,True,False,True,False,False,20000000,600000000,24.82110360692481,0.15,50000,10000,100000,10.0,1.4866400034445044,5.0,5000.0,0.7464359154884055,0.09288425388475925,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9441131473636584,0.05394950932621604,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.38304550942029975,2.817432078553352,0.23358942312562223,1.0324031200116865,0.1869312273304212,2.011414558869307,11,0.12494616967508763,0.5,0.6,20.0,2.0
optuna_00185,185,1523.43,113,79,34,69.91,1.98,208.58,270,1523.43,13.48,38.92,-45.62,0.85,19.6,839.0,8.7,11,13,84.6,-24.01,315.75,3,ABCD,1,76,25,7,0,4,1,False,False,True,True,True,False,True,False,False,20000000,500000000,24.420893227499754,0.15,50000,10000,100000,10.0,1.5538795131354624,5.0,5000.0,0.7325205273044425,0.106304677797182,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.8666423071671645,0.0327609872796518,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.41573300364956034,1.2802874453921653,0.23886918287162814,1.043662707508479,0.22671791098551683,4.99820119800193,11,0.14439262193874677,0.5,0.6,20.0,2.0
optuna_00234,234,1509.6,159,113,46,71.07,1.55,432.48,270,1509.6,9.49,37.66,-59.69,0.63,24.5,868.0,12.2,9,13,69.2,-164.05,316.89,4,ABCD,1,86,39,27,1,6,0,False,False,True,True,True,False,True,False,False,20000000,650000000,24.8562013044012,0.15,50000,10000,100000,10.0,1.565551748280075,5.0,5000.0,0.76797032901034,0.09118279551048457,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.9102479283666791,0.05506861984316327,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.3697846795854249,2.8376905838038486,0.23539520805751613,1.05530940398393,0.17505853800154325,2.3855524067126663,11,0.126895530538194,0.5,0.6,20.0,2.0
optuna_00200,200,1460.88,98,70,28,71.43,1.86,200.19,270,1460.88,14.91,45.23,-60.9,0.74,24.4,835.0,7.5,12,13,92.3,-4.33,359.76,3,ABCD,1,55,28,13,0,2,0,False,False,True,True,True,False,True,False,False,20000000,600000000,24.414879587630917,0.15,50000,10000,100000,10.0,1.7187481911378555,5.0,5000.0,0.7470935855545013,0.11436153107809106,0.8,0.7,0.8,0.65,True,False,False,False,False,False,False,True,False,0.03,1.2,0.6,0.7,0.98,1.976403742432243,0.03223081930772518,0,5.0,45,0.25,False,False,False,0.5,0.5,0.03,2,0.41968681827988885,3.189566717742977,0.27710231889756676,1.0629634882164496,0.18142383103410598,4.922390617894151,11,0.15860593376527254,0.5,0.6,20.0,2.0
