#,date,symbol,pattern,entry,exit,shares,pnl,exit_reason,hold_min,result
1,2026-02-12,PMI,FLAT_TOP,2.2806,1.79,269,-131.97,STOP_HIT,5,LOSS
2,2026-02-02,CISS,FLAT_TOP,2.625,2.27,316,-112.18,STOP_HIT,24,LOSS
3,2026-02-10,PHIO,MICRO_PULLBACK,1.42,1.27,722,-108.3,STOP_HIT,8,LOSS
4,2026-02-12,PMI,FLAT_TOP,1.86,1.595,388,-102.82,STOP_HIT,15,LOSS
5,2026-02-06,FLYE,FLAT_TOP,6.1099,5.5301,163,-94.51,STOP_HIT,17,LOSS
6,2026-02-10,JZXN,FLAT_TOP,2.001,2.4578,200,91.36,TIME_DECAY,6,WIN
7,2026-02-13,CRSR,FLAT_TOP,6.635,7.455,150,77.25,TIME_DECAY,30,WIN
8,2026-02-05,CISS,FLAT_TOP,1.995,2.05,501,74.32,TRAILING_STOP,29,WIN
9,2026-02-04,SONO,FLAT_TOP,17.022,15.8,58,-70.88,STOP_HIT,34,LOSS
10,2026-02-17,PLYX,FLAT_TOP,3.6468,3.895,270,67.01,TIME_DECAY,27,WIN
11,2026-02-12,FSLY,FLAT_TOP,14.0499,14.9735,71,64.07,TRAILING_STOP,9,WIN
12,2026-02-02,OPRA,FLAT_TOP,13.9475,14.6512,71,50.26,TARGET_2,6,WIN
13,2026-02-06,FLYE,FLAT_TOP,5.17,5.46,159,46.11,TIME_DECAY,1,WIN
14,2026-02-18,JELD,FLAT_TOP,2.6001,2.74,385,44.12,TIME_DECAY,10,WIN
15,2026-02-02,CISS,FLAT_TOP,2.65,2.4509,213,-31.19,TRAILING_STOP,24,LOSS
16,2026-02-11,SUNE,FLAT_TOP,2.0395,2.07,316,30.19,TRAILING_STOP,32,WIN
17,2026-02-03,GXAI,FLAT_TOP,1.8751,1.87,355,27.76,STOP_HIT,27,WIN
18,2026-02-02,YJ,FLAT_TOP,2.09,2.1799,226,20.32,TIME_DECAY,1,WIN
19,2026-02-04,BOXL,FLAT_TOP,2.025,2.1,265,19.88,TIME_DECAY,13,WIN
20,2026-02-10,INFQ,FLAT_TOP,12.26,12.44,81,16.98,TRAILING_STOP,5,WIN
21,2026-02-17,LFS,FLAT_TOP,3.11,3.1099,321,16.24,STOP_HIT,11,WIN
22,2026-02-04,FEED,FLAT_TOP,3.0501,3.1,324,16.17,TIME_DECAY,1,WIN
23,2026-02-13,RIME,FLAT_TOP,1.2801,1.3,809,16.1,TIME_DECAY,1,WIN
24,2026-02-18,AUUD,FLAT_TOP,1.27,1.29,799,15.98,TIME_DECAY,1,WIN
25,2026-02-13,MLEC,FLAT_TOP,9.77,9.94,78,13.26,TIME_DECAY,6,WIN
26,2026-02-13,ATOM,FLAT_TOP,3.3101,3.35,311,12.41,TIME_DECAY,22,WIN
27,2026-02-03,NPT,FLAT_TOP,8.5795,8.7,101,12.17,TIME_DECAY,4,WIN
28,2026-02-18,BENF,FLAT_TOP,4.9911,5.06,166,11.44,TIME_DECAY,1,WIN
29,2026-02-11,STIM,MICRO_PULLBACK,1.82,1.84,556,11.12,TIME_DECAY,1,WIN
30,2026-02-17,GXAI,FLAT_TOP,1.4198,1.435,723,10.99,TIME_DECAY,1,WIN
31,2026-02-09,BRLS,FLAT_TOP,1.31,1.38,149,10.43,TIME_DECAY,5,WIN
32,2026-02-12,FSLY,FLAT_TOP,15.35,15.502,64,9.73,TIME_DECAY,3,WIN
33,2026-02-17,CMPS,FLAT_TOP,8.08,8.153,126,9.2,TIME_DECAY,3,WIN
34,2026-02-04,EGHT,FLAT_TOP,2.405,2.425,413,8.26,TIME_DECAY,1,WIN
35,2026-02-09,PLBY,FLAT_TOP,2.0565,2.0699,470,8.09,TIME_DECAY,14,WIN
36,2026-02-10,VSTS,FLAT_TOP,9.46,9.345,106,7.39,STOP_HIT,16,WIN
